"","Element ID","/Layer_1/Native&Riparian Veg. Actual ET (-)(AF/year)"
"1",1,0
"2",2,0
"3",3,508.962279568727
"4",4,699.43690122431
"5",5,659.227310610931
"6",6,1481.33186781578
"7",7,1261.10180599367
"8",8,833.963382053613
"9",9,1020.90967960743
"10",10,0
"11",11,0
"12",12,0
"13",13,0
"14",14,0
"15",15,256.879013622052
"16",16,164.688081138471
"17",17,381.278347109319
"18",18,1153.72911929566
"19",19,907.813004501983
"20",20,963.096923343482
"21",21,573.913745152633
"22",22,528.410629236182
"23",23,616.112736631682
"24",24,386.339762386234
"25",25,795.283927384078
"26",26,1147.55074288166
"27",27,0
"28",28,31.5582206322518
"29",29,11.2539005039207
"30",30,0
"31",31,0.984705196625609
"32",32,20.8481109244222
"33",33,0
"34",34,0
"35",35,369.569840950122
"36",36,820.200548452304
"37",37,954.464636021309
"38",38,699.846286976851
"39",39,763.479709837767
"40",40,529.881840261965
"41",41,531.650421062736
"42",42,537.861827135065
"43",43,599.800977756971
"44",44,748.697364066027
"45",45,1253.92091580349
"46",46,551.816254687851
"47",47,1112.21477573467
"48",48,46.7510291599905
"49",49,4.22016845214075
"50",50,190.374588200817
"51",51,37.4644569974443
"52",52,28.7461835330682
"53",53,347.469041991327
"54",54,63.7666358350864
"55",55,109.638714680023
"56",56,158.545262605861
"57",57,0
"58",58,0
"59",59,0
"60",60,704.004963022865
"61",61,343.359447768267
"62",62,660.622727167731
"63",63,480.155476001443
"64",64,504.278766658703
"65",65,363.32094735353
"66",66,434.652498703288
"67",67,288.14102447415
"68",68,335.973160008439
"69",69,546.508656253579
"70",70,601.559442834069
"71",71,481.231046325544
"72",72,831.130338643956
"73",73,62.8805542132309
"74",74,0
"75",75,0
"76",76,0
"77",77,0
"78",78,0
"79",79,0
"80",80,88.5797290510242
"81",81,0
"82",82,43.7987489740463
"83",83,0
"84",84,0
"85",85,0
"86",86,0
"87",87,0
"88",88,0
"89",89,220.112968757223
"90",90,523.739097063414
"91",91,269.12611808926
"92",92,445.551751576292
"93",93,170.648806754137
"94",94,308.179119227148
"95",95,63.8009278988968
"96",96,271.40307412029
"97",97,174.285999046753
"98",98,248.641706299605
"99",99,334.568053025761
"100",100,359.71718758689
"101",101,494.919640684527
"102",102,318.049620129075
"103",103,248.723731116055
"104",104,486.106200886945
"105",105,0
"106",106,0
"107",107,0
"108",108,0
"109",109,0
"110",110,60.9383435260614
"111",111,225.019167666533
"112",112,7.73690387078885
"113",113,0
"114",114,0
"115",115,0
"116",116,0
"117",117,0
"118",118,0
"119",119,0
"120",120,0
"121",121,342.97850206845
"122",122,395.199587670546
"123",123,302.869778605852
"124",124,346.931893717603
"125",125,19.0195439674609
"126",126,156.579316930811
"127",127,88.0819099257097
"128",128,72.9319217472964
"129",129,104.216383632649
"130",130,37.758765543632
"131",131,119.455614301486
"132",132,130.846958832101
"133",133,92.9049215586102
"134",134,25.1497110543677
"135",135,73.4998697799383
"136",136,224.242596019693
"137",137,91.5584354292379
"138",138,159.462580855162
"139",139,160.958447626612
"140",140,202.455354412803
"141",141,121.15198806732
"142",142,116.050809705795
"143",143,0
"144",144,0
"145",145,0
"146",146,0
"147",147,0.515788528097682
"148",148,234.274677749034
"149",149,0
"150",150,0
"151",151,0
"152",152,0
"153",153,0
"154",154,0
"155",155,154.775805629507
"156",156,118.456204253522
"157",157,301.311601350963
"158",158,252.834110906088
"159",159,397.5084546035
"160",160,411.256629061609
"161",161,312.038565086194
"162",162,99.0576475647246
"163",163,123.419942077902
"164",164,97.8710793415069
"165",165,49.1857018431425
"166",166,87.3162846222798
"167",167,181.511972661517
"168",168,177.641734362877
"169",169,42.8782236529115
"170",170,49.7971897442622
"171",171,45.6459979460038
"172",172,203.932842537691
"173",173,84.9941834295585
"174",174,90.9772988573283
"175",175,44.7676936762717
"176",176,117.793057255149
"177",177,101.21330642257
"178",178,135.483531777434
"179",179,71.4146428627158
"180",180,117.605423815446
"181",181,156.573945600493
"182",182,51.1129801438447
"183",183,76.1572157786817
"184",184,67.573751867162
"185",185,602.911841678527
"186",186,404.838058695315
"187",187,0
"188",188,0
"189",189,0
"190",190,0
"191",191,59.130982303729
"192",192,30.0575675869527
"193",193,101.568749911081
"194",194,249.822671212307
"195",195,67.1969113056292
"196",196,5.25198961357142
"197",197,111.325234488696
"198",198,12.9650917843982
"199",199,33.0631415634395
"200",200,85.1246513209605
"201",201,0
"202",202,287.562639867328
"203",203,345.334774228483
"204",204,272.752424077041
"205",205,159.805028814669
"206",206,155.998884813246
"207",207,60.1845568733388
"208",208,49.6856651944019
"209",209,49.6210795543879
"210",210,166.964323409635
"211",211,250.587568376978
"212",212,298.220730830723
"213",213,227.390942883472
"214",214,210.224012339548
"215",215,187.210332542562
"216",216,43.3296149496143
"217",217,163.946640567571
"218",218,244.16403078761
"219",219,100.366481006783
"220",220,165.411170561505
"221",221,49.1339079414164
"222",222,246.583993854915
"223",223,33.9961071383585
"224",224,29.9939924179471
"225",225,145.301504261399
"226",226,379.827217636493
"227",227,467.070745026523
"228",228,0
"229",229,0
"230",230,0
"231",231,72.4926606890552
"232",232,0
"233",233,9.84706872251724
"234",234,261.061583523212
"235",235,115.610378077209
"236",236,215.941574033155
"237",237,52.0883130629079
"238",238,100.050950372673
"239",239,94.0222858946964
"240",240,76.516330190956
"241",241,79.951767582189
"242",242,0
"243",243,296.312530258419
"244",244,289.745067704165
"245",245,372.472985608229
"246",246,264.448878002446
"247",247,111.536554027247
"248",248,55.8234171275202
"249",249,84.4044879093872
