"","Element ID","/Layer_1/Native&Riparian Veg. Percolation (-)(AF/year)"
"1",1,0
"2",2,0
"3",3,746.323615621317
"4",4,822.977804934207
"5",5,823.238888237086
"6",6,1545.88762111146
"7",7,1363.92364578188
"8",8,1502.28311243875
"9",9,1654.2352485811
"10",10,0
"11",11,0
"12",12,0
"13",13,0
"14",14,0
"15",15,276.925536713269
"16",16,223.695326295592
"17",17,410.465482350468
"18",18,1221.86460788053
"19",19,786.702533274796
"20",20,888.259220827634
"21",21,937.330817816591
"22",22,960.581528589525
"23",23,1004.12386721455
"24",24,513.953025316928
"25",25,1481.93386158452
"26",26,978.301591971835
"27",27,0
"28",28,11.5045261185415
"29",29,3.57629443071282
"30",30,0
"31",31,0.195166147913531
"32",32,2.25606827928824
"33",33,0
"34",34,0
"35",35,474.617560234378
"36",36,671.282685283146
"37",37,786.849074040503
"38",38,559.835866326751
"39",39,875.242796844921
"40",40,775.285583525967
"41",41,799.032142240182
"42",42,931.180837019481
"43",43,1046.03619900753
"44",44,969.221779301295
"45",45,1652.3826873327
"46",46,855.081530937214
"47",47,1708.80713611703
"48",48,19.0462649361357
"49",49,1.54175492556496
"50",50,28.965001378495
"51",51,7.30635970481483
"52",52,7.98749699394902
"53",53,153.340304660491
"54",54,15.9693859170034
"55",55,103.920756061348
"56",56,31.4037001800669
"57",57,0
"58",58,0
"59",59,0
"60",60,925.035597373715
"61",61,276.115907111189
"62",62,1091.51321317033
"63",63,896.17459540735
"64",64,530.616076765218
"65",65,583.627996533678
"66",66,472.580671048417
"67",67,492.183221283032
"68",68,491.602431421066
"69",69,677.19091677885
"70",70,736.130085393973
"71",71,491.106233144612
"72",72,945.706882753594
"73",73,8.40545198921176
"74",74,0
"75",75,0
"76",76,0
"77",77,0
"78",78,0
"79",79,0
"80",80,135.176719701839
"81",81,0
"82",82,8.03363089553593
"83",83,0
"84",84,0
"85",85,0
"86",86,0
"87",87,0
"88",88,0
"89",89,223.60523995499
"90",90,375.503483876329
"91",91,190.467826786844
"92",92,525.282782472658
"93",93,196.437108646585
"94",94,65.3138843828143
"95",95,38.1649331229841
"96",96,301.982179074813
"97",97,319.59793653616
"98",98,332.093181090963
"99",99,513.586426754045
"100",100,468.416539948321
"101",101,404.046392539991
"102",102,379.423496586763
"103",103,319.694324999905
"104",104,577.479024533433
"105",105,0
"106",106,0
"107",107,0
"108",108,0
"109",109,0
"110",110,103.171678035903
"111",111,165.407751816264
"112",112,2.21127042333789
"113",113,0
"114",114,0
"115",115,0
"116",116,0
"117",117,0
"118",118,0
"119",119,0
"120",120,0
"121",121,540.315659820584
"122",122,314.047344032914
"123",123,291.834144537288
"124",124,376.38679099032
"125",125,9.26154599422069
"126",126,59.3153609743997
"127",127,90.5264905907156
"128",128,22.3742460005171
"129",129,50.8492586034462
"130",130,95.4537663666467
"131",131,207.87903766379
"132",132,153.498541635415
"133",133,100.264906393509
"134",134,32.7124271846857
"135",135,105.180391336135
"136",136,178.468301556913
"137",137,69.1446049262667
"138",138,195.872233258766
"139",139,158.160931756485
"140",140,241.323595644719
"141",141,90.2632177868167
"142",142,190.373966120581
"143",143,0
"144",144,0
"145",145,0
"146",146,0
"147",147,0.170641854378542
"148",148,344.474904911529
"149",149,0
"150",150,0
"151",151,0
"152",152,0
"153",153,0
"154",154,0
"155",155,218.84977781729
"156",156,116.760616607594
"157",157,189.228088011844
"158",158,282.143299011351
"159",159,341.869385840906
"160",160,269.615798949073
"161",161,323.419743871237
"162",162,54.686237004853
"163",163,143.107479031946
"164",164,38.7152976358713
"165",165,51.5964773249472
"166",166,117.007527667084
"167",167,250.187705166478
"168",168,146.42620841435
"169",169,19.781833339957
"170",170,74.6542525927823
"171",171,81.4576500918135
"172",172,153.019555320976
"173",173,64.8026047694327
"174",174,118.519255650654
"175",175,61.2182688185667
"176",176,78.4350940687725
"177",177,143.596159056631
"178",178,118.150641142526
"179",179,105.903490228335
"180",180,186.554503711341
"181",181,174.960592949042
"182",182,84.5277979737736
"183",183,146.970994752737
"184",184,374.498933927382
"185",185,1115.79806573774
"186",186,742.690121398811
"187",187,0
"188",188,0
"189",189,0
"190",190,0
"191",191,19.1037655332485
"192",192,8.16345769733819
"193",193,31.7594161559947
"194",194,148.174599223467
"195",195,112.387025852405
"196",196,1.26734827556221
"197",197,113.835951712751
"198",198,12.8386347783542
"199",199,46.4978766076003
"200",200,126.067048696561
"201",201,0
"202",202,501.77395211214
"203",203,251.537386334462
"204",204,217.192312563882
"205",205,174.64687790206
"206",206,188.763994805653
"207",207,66.9243955437639
"208",208,78.3892404828673
"209",209,36.3739159288554
"210",210,169.773283608709
"211",211,321.402599049809
"212",212,359.591502744282
"213",213,279.785111782264
"214",214,257.357500325733
"215",215,186.465608659499
"216",216,34.6688141108636
"217",217,176.034357278386
"218",218,224.204521352486
"219",219,90.4498529249518
"220",220,164.09589911757
"221",221,42.479732681009
"222",222,341.237903201913
"223",223,388.616242276685
"224",224,692.00273685875
"225",225,887.769264696479
"226",226,625.388043763758
"227",227,288.608500766297
"228",228,0
"229",229,0
"230",230,0
"231",231,17.9186505945871
"232",232,0
"233",233,2.41650329258349
"234",234,281.494176268858
"235",235,86.4684384718664
"236",236,148.573413488388
"237",237,99.3629872184169
"238",238,145.225280724815
"239",239,68.5873172175185
"240",240,52.9800545488499
"241",241,80.3549440316088
"242",242,0
"243",243,350.072151588531
"244",244,458.934214863792
"245",245,349.839509156067
"246",246,216.828298520697
"247",247,119.625442144968
"248",248,59.4722967143723
"249",249,133.198561769523
"250",250,107.059113798841
"251",251,113.020531398445
"252",252,228.414308860359
"253",253,381.03254924316
"254",254,85.1347911913666
"255",255,431.419889131323
"256",256,392.816529550539
"257",257,375.359098586451
"258",258,170.00000121401
"259",259,513.285782265848
"260",260,1127.72458133903
"261",261,1125.70231007602
"262",262,335.99161357216
"263",263,191.000433972633
"264",264,228.314525399226
"265",265,381.623230174007
"266",266,342.790943161114
"267",267,479.762395831367
"268",268,439.554316942328
"269",269,0
"270",270,0
"271",271,0
"272",272,0
"273",273,25.254481393325
"274",274,142.255685787806
"275",275,262.022267988257
"276",276,93.7536172925775
"277",277,76.2900883081225
"278",278,47.808066599306
"279",279,1.90017988075863
"280",280,11.3783130173134
"281",281,34.6977407432483
"282",282,125.217268688767
"283",283,0
"284",284,17.4051765324149
"285",285,204.034227022951
"286",286,293.252895676349
"287",287,167.093559906326
"288",288,51.547814117534
"289",289,9.73076570691498
"290",290,32.6223134355155
"291",291,35.7054155939798
"292",292,44.6436549104502
"293",293,147.780773306118
"294",294,185.021241910123
"295",295,323.132270780541
"296",296,391.890218307131
"297",297,434.414398825357
"298",298,444.726878290881
"299",299,395.620188316579
"300",300,674.435834705144
"301",301,1083.29796870209
"302",302,1646.86752868471
"303",303,51.3346245273376
"304",304,171.249116230622
"305",305,16.6270343267035
"306",306,1.65827036703531
"307",307,81.9574863011004
"308",308,141.535279811373
