"","Element ID","/Layer_1/Native&Riparian Veg. Runoff(AF/year)"
"1",1,0
"2",2,0
"3",3,826.813115054849
"4",4,1007.30889875214
"5",5,1087.80425531253
"6",6,2229.71008395656
"7",7,1757.02058737272
"8",8,1059.1103662676
"9",9,1167.95686322987
"10",10,0
"11",11,0
"12",12,0
"13",13,0
"14",14,0
"15",15,378.470654749091
"16",16,249.954072274844
"17",17,498.432277442129
"18",18,1729.88629625208
"19",19,1268.90591043005
"20",20,1296.01646033861
"21",21,699.091917727999
"22",22,518.138199382568
"23",23,708.694301940707
"24",24,400.659543341852
"25",25,974.99569313563
"26",26,1331.53221510175
"27",27,0
"28",28,1.15636312213663
"29",29,1.31875929135647
"30",30,0
"31",31,0.217406995375692
"32",32,5.5378980242505
"33",33,0
"34",34,0
"35",35,544.610727735177
"36",36,1175.33402817912
"37",37,1271.14177203466
"38",38,905.29477965118
"39",39,930.721931466168
"40",40,566.634852375253
"41",41,502.809586436168
"42",42,532.686093695418
"43",43,562.308688014051
"44",44,748.35234352979
"45",45,1271.38675217954
"46",46,598.676785986365
"47",47,1249.58663701264
"48",48,1.74445747571275
"49",49,0.153181307155742
"50",50,45.0906174698342
"51",51,7.82022895569004
"52",52,4.74204288005487
"53",53,67.5090163321291
"54",54,7.24451137147784
"55",55,69.8387827916866
"56",56,33.3152142272708
"57",57,0
"58",58,0
"59",59,0
"60",60,878.328936152684
"61",61,482.133237087692
"62",62,813.055474033309
"63",63,563.213851969481
"64",64,609.231045396051
"65",65,345.789874353911
"66",66,427.897340093205
"67",67,285.697929448791
"68",68,321.525280029641
"69",69,540.347375337652
"70",70,549.241340459711
"71",71,483.019756380663
"72",72,804.842933998456
"73",73,16.4863602508788
"74",74,0
"75",75,0
"76",76,0
"77",77,0
"78",78,0
"79",79,0
"80",80,61.9223696121595
"81",81,0
"82",82,9.30212387132332
"83",83,0
"84",84,0
"85",85,0
"86",86,0
"87",87,0
"88",88,0
"89",89,239.223131551676
"90",90,595.630676161005
"91",91,313.21726000307
"92",92,533.463262586132
"93",93,169.72557460998
"94",94,57.9999760509428
"95",95,19.0230962094553
"96",96,89.843894874001
"97",97,164.349400242378
"98",98,219.681568324789
"99",99,301.030515084181
"100",100,320.008372899488
"101",101,446.573538338755
"102",102,269.871190160842
"103",103,219.729139199895
"104",104,482.252086974264
"105",105,0
"106",106,0
"107",107,0
"108",108,0
"109",109,0
"110",110,19.3340571066155
"111",111,24.7131806058944
"112",112,0.971291613428906
"113",113,0
"114",114,0
"115",115,0
"116",116,0
"117",117,0
"118",118,0
"119",119,0
"120",120,0
"121",121,377.575290216617
"122",122,444.468694255666
"123",123,350.807980347199
"124",124,403.601819714169
"125",125,12.3485404317373
"126",126,26.128992618123
"127",127,45.2031944127039
"128",128,63.0540543567339
"129",129,96.7282485483644
"130",130,36.2776513493509
"131",131,106.06348715483
"132",132,116.760750220011
"133",133,57.4077016929451
"134",134,19.0438907162363
"135",135,59.4859487509934
"136",136,201.865171792492
"137",137,65.11777031237
"138",138,139.721469158164
"139",139,132.387471070871
"140",140,183.344984073372
"141",141,129.233013659018
"142",142,134.090835255932
"143",143,0
"144",144,0
"145",145,0
"146",146,0
"147",147,0.0159410542446901
"148",148,56.2902854667292
"149",149,0
"150",150,0
"151",151,0
"152",152,0
"153",153,0
"154",154,0
"155",155,116.254517055532
"156",156,129.450027777428
"157",157,304.819297668362
"158",158,254.492745792355
"159",159,410.972633372096
"160",160,472.187438910488
"161",161,331.742231832359
"162",162,44.7936016696617
"163",163,122.946106968245
"164",164,18.8974213331722
"165",165,49.3544152377476
"166",166,94.1841324291473
"167",167,171.840873186007
"168",168,166.74684668705
"169",169,41.144373319966
"170",170,41.4214461584304
"171",171,38.8582118801368
"172",172,193.064182104394
"173",173,82.1656957270038
"174",174,93.5741462320475
"175",175,35.707034289932
"176",176,97.246106475464
"177",177,95.9562984644214
"178",178,138.554621111876
"179",179,63.5684587190178
"180",180,108.721885523968
"181",181,166.394396929415
"182",182,55.4243241622829
"183",183,91.9898924986257
"184",184,130.224377399877
"185",185,923.500729593085
"186",186,583.20018735157
"187",187,0
"188",188,0
"189",189,0
"190",190,0
"191",191,1.60171093854234
"192",192,4.83113345408046
"193",193,2.4274792227222
"194",194,19.397241459911
"195",195,41.5546431317677
"196",196,0.441100607432592
"197",197,97.6432001999932
"198",198,4.9933321372403
"199",199,28.9493907243111
"200",200,85.7293091005774
"201",201,0
"202",202,318.892907727604
"203",203,346.066696945391
"204",204,305.328804830957
"205",205,170.787459067972
"206",206,157.56788070648
"207",207,44.187032734666
"208",208,43.346351740512
"209",209,24.3423472278157
"210",210,174.579351337921
"211",211,240.712893189731
"212",212,264.933335288278
"213",213,207.751342371378
"214",214,188.00418516198
"215",215,193.656329379076
"216",216,46.8683472806377
"217",217,149.66204812212
"218",218,226.85829921117
"219",219,97.6914167994409
"220",220,166.671911346301
"221",221,52.7314694741265
"222",222,233.859637012767
"223",223,109.044878480074
"224",224,188.424134882384
"225",225,246.737113891381
"226",226,533.049835972011
"227",227,605.672106962851
"228",228,0
"229",229,0
"230",230,0
"231",231,6.62775020848508
"232",232,0
"233",233,0.708262777246249
"234",234,35.5112200972711
"235",235,11.7372703594012
"236",236,16.6753498232132
"237",237,32.5672050707076
"238",238,64.0547158407081
"239",239,70.3021772117064
"240",240,56.3287461444193
"241",241,61.8541101535516
"242",242,0
"243",243,316.685654552471
"244",244,303.155702088572
"245",245,374.930641575131
"246",246,287.046499641519
"247",247,114.759371014596
"248",248,31.0870511428857
"249",249,73.1436774258669
"250",250,72.3042704404794
"251",251,47.4767163117489
"252",252,197.268321210872
"253",253,274.348239829193
"254",254,95.6485852383816
"255",255,334.599600173465
"256",256,377.817693237924
"257",257,344.202805711504
"258",258,161.057526180938
"259",259,401.69121040025
"260",260,321.186628891179
"261",261,330.845935264852
"262",262,177.879423947291
"263",263,114.731847623739
"264",264,103.656568774798
"265",265,151.978112967692
"266",266,90.2207306771384
"267",267,251.220236158077
"268",268,239.275530368457
"269",269,0
"270",270,0
"271",271,0
"272",272,0
"273",273,1.83451950200674
"274",274,17.1893899367904
"275",275,32.2916257843632
"276",276,13.3800922199675
"277",277,24.7414210736824
"278",278,23.1095486541512
"279",279,0.106640508681872
"280",280,4.27061440079458
"281",281,9.91606238537004
"282",282,184.127404575852
"283",283,0
"284",284,23.6895316508562
"285",285,104.283953505116
"286",286,137.333294020475
"287",287,255.618180546979
"288",288,87.9674251648615
"289",289,5.50804090701533
"290",290,17.2089881350727
"291",291,46.9351309922076
"292",292,31.2700956580134
"293",293,165.134960465049
"294",294,243.281646820975
"295",295,383.895019843534
"296",296,367.50929473702
"297",297,382.055795410662
"298",298,393.328794723445
"299",299,337.609453868709
"300",300,375.243033586464
"301",301,504.179722454098
"302",302,459.369598917096
"303",303,12.8556883129956
"304",304,72.9094858211001
"305",305,24.042366223256
"306",306,2.75139168235438
"307",307,63.3723872249693
