"","Element ID","/Layer_1/Native&Riparian Veg. Beginning Storage (+)(AF/year)"
"1",1,0
"2",2,0
"3",3,6662.21566513783
"4",4,8776.96429116091
"5",5,8046.29347935112
"6",6,18214.3133251159
"7",7,15400.6362124132
"8",8,10002.9256875188
"9",9,12180.1450277955
"10",10,0
"11",11,0
"12",12,0
"13",13,0
"14",14,0
"15",15,3207.43407355462
"16",16,2159.4295362485
"17",17,4500.49567780004
"18",18,14753.0120511463
"19",19,9034.45363994022
"20",20,10973.2507764279
"21",21,6717.36001590963
"22",22,5343.23827536967
"23",23,7095.59487638581
"24",24,4147.66304134844
"25",25,10178.1742267964
"26",26,12887.4904231928
"27",27,0
"28",28,35.3354638748583
"29",29,17.8379463780767
"30",30,0
"31",31,2.19801641098467
"32",32,52.6350894076901
"33",33,0
"34",34,0
"35",35,4672.2590406512
"36",36,9982.29051073215
"37",37,11182.4619460254
"38",38,7870.97526765977
"39",39,9350.42664465955
"40",40,5975.59247394301
"41",41,5836.20494896457
"42",42,6624.92182432297
"43",43,7118.12290277794
"44",44,8660.17413658255
"45",45,15204.6761353659
"46",46,6390.69671049774
"47",47,12009.6563476504
"48",48,62.4763542510801
"49",49,4.26265872196935
"50",50,461.971372628841
"51",51,70.1985236271605
"52",52,32.6703762720451
"53",53,222.754091331355
"54",54,20.1371194013008
"55",55,651.321162761959
"56",56,390.474194468984
"57",57,0
"58",58,0
"59",59,0
"60",60,8154.91925126712
"61",61,4348.64085485504
"62",62,8440.55702865974
"63",63,5955.9387186014
"64",64,5389.41698661927
"65",65,3439.52819447742
"66",66,5163.48052254596
"67",67,3531.02254021081
"68",68,4529.7835610021
"69",69,6786.12231149767
"70",70,7893.79977356485
"71",71,5839.74639669206
"72",72,12564.7851582195
"73",73,151.634774002332
"74",74,0
"75",75,0
"76",76,0
"77",77,0
"78",78,0
"79",79,0
"80",80,211.195071924628
"81",81,0
"82",82,114.99098100752
"83",83,0
"84",84,0
"85",85,0
"86",86,0
"87",87,0
"88",88,0
"89",89,3261.48355635559
"90",90,6899.42622342247
"91",91,3434.02365519361
"92",92,4782.60246071889
"93",93,1828.70032205727
"94",94,869.899116076526
"95",95,227.0231220188
"96",96,1501.84260602672
"97",97,2236.41963619665
"98",98,3174.35740375492
"99",99,4278.79748832133
"100",100,4644.03324548399
"101",101,6483.81107574534
"102",102,3899.26451329247
"103",103,2833.25924222259
"104",104,5417.06530591563
"105",105,0
"106",106,0
"107",107,0
"108",108,0
"109",109,0
"110",110,153.099811778843
"111",111,400.689866968856
"112",112,17.2383356913473
"113",113,0
"114",114,0
"115",115,0
"116",116,0
"117",117,0
"118",118,0
"119",119,0
"120",120,0
"121",121,5102.98259056998
"122",122,5020.18628295192
"123",123,3858.12507167372
"124",124,4104.90512700964
"125",125,161.17317276627
"126",126,370.669381159186
"127",127,663.375545532556
"128",128,929.232962371536
"129",129,1350.73507052061
"130",130,399.125305066365
"131",131,1632.51384993528
"132",132,1734.96952765935
"133",133,772.649241229132
"134",134,311.654610251198
"135",135,970.588130934623
"136",136,2565.97618366161
"137",137,1143.5338919177
"138",138,1515.71812073889
"139",139,1414.29690336129
"140",140,2004.53143005176
"141",141,1428.8556137136
"142",142,1491.03316257275
"143",143,0
"144",144,0
"145",145,0
"146",146,0
"147",147,0.681646675126728
"148",148,694.344624241604
"149",149,0
"150",150,0
"151",151,0
"152",152,0
"153",153,0
"154",154,0
"155",155,2032.32215644113
"156",156,1770.17856977377
"157",157,4653.92455222422
"158",158,3984.20925783171
"159",159,5881.97652921001
"160",160,5512.62750668999
"161",161,4037.69412711464
"162",162,598.865916608801
"163",163,1573.11184184321
"164",164,286.592576686433
"165",165,606.21425638872
"166",166,1124.5468506866
"167",167,1831.42623950753
"168",168,2042.26812673095
"169",169,532.371133834449
"170",170,659.174554139763
"171",171,620.017465248755
"172",172,2420.67437246414
"173",173,949.598047092116
"174",174,1195.68008109488
"175",175,573.99114259791
"176",176,1534.9907402504
"177",177,1328.96675369987
"178",178,1685.11634104292
"179",179,753.408015351502
"180",180,1373.92103907067
"181",181,2075.47503362276
"182",182,670.227460451897
"183",183,1115.17672758064
"184",184,1604.96719073188
"185",185,8694.35269923544
"186",186,5721.31321448692
"187",187,0
"188",188,0
"189",189,0
"190",190,0
"191",191,53.0057208517385
"192",192,70.8733532065421
"193",193,117.059200750983
"194",194,297.519869367114
"195",195,568.92672963868
"196",196,9.02277744238186
"197",197,1327.54188995138
"198",198,107.268011346355
"199",199,341.413746113216
"200",200,1180.61578171773
"201",201,0
"202",202,4968.57039344945
"203",203,4707.42334277859
"204",204,3866.99303553016
"205",205,2030.56249382232
"206",206,1838.03639989679
"207",207,781.232783329027
"208",208,679.899859711967
"209",209,372.325452847642
"210",210,1958.6004026826
"211",211,2584.25075012491
"212",212,2982.10192495649
"213",213,2303.96660716266
"214",214,2088.7976665655
"215",215,2233.2956429193
"216",216,542.201197978539
"217",217,1714.58991451298
"218",218,2611.89786927298
"219",219,1157.27555403265
"220",220,2019.04199583446
"221",221,621.756309899385
"222",222,2650.89980959949
"223",223,1321.76972571476
"224",224,2142.99905933098
"225",225,3109.21493338687
"226",226,5735.86047057438
"227",227,6153.94636357152
"228",228,0
"229",229,0
"230",230,0
"231",231,121.251887871728
"232",232,0
"233",233,7.48669590290756
"234",234,734.017054068386
"235",235,166.689688858789
"236",236,489.67276874779
"237",237,504.991846146849
"238",238,1170.02594535286
"239",239,1116.2167127807
"240",240,906.107185441252
"241",241,886.427892912987
"242",242,0
"243",243,5022.02316632172
"244",244,4638.24223352133
"245",245,5852.89302997334
"246",246,3820.48796841456
"247",247,1427.54097136186
"248",248,393.687441016222
"249",249,1007.06459291743
"250",250,1228.83926739028
"251",251,621.077587408001
"252",252,2245.49832411888
"253",253,2976.65177420488
"254",254,1115.18521580484
"255",255,3685.63829732048
"256",256,4280.53838357365
"257",257,3891.47611605179
"258",258,1810.79953798553
"259",259,4661.57998501592
"260",260,4090.10819677046
"261",261,3805.81909019629
"262",262,1946.20874854323
"263",263,396.851724297712
"264",264,921.56088034848
"265",265,668.617185074741
"266",266,1106.29458007225
"267",267,2831.66045236986
"268",268,2698.9360399846
"269",269,0
"270",270,0
"271",271,0
"272",272,0
"273",273,93.4558715249079
"274",274,427.10396088991
"275",275,853.291913072768
"276",276,334.104287098607
"277",277,378.984895505691
"278",278,260.26086824644
"279",279,6.88558532715926
"280",280,109.967584131607
"281",281,257.541087310052
"282",282,2690.1714393024
"283",283,0
"284",284,451.465271662999
"285",285,1604.57163549241
"286",286,2174.65046536119
"287",287,4074.34429075737
"288",288,1356.572306119
"289",289,111.080495047337
"290",290,263.391210645934
"291",291,613.823388132947
"292",292,421.283341831862
"293",293,1955.38864451905
"294",294,2944.24019012577
"295",295,4724.10352057234
"296",296,4235.82443844793
"297",297,4386.16961808105
"298",298,4559.42866522017
"299",299,4157.63671890867
"300",300,5025.28215197396
"301",301,6180.13321788727
