"","Element ID","/Layer_1/Native&Riparian Veg. Potential ET(AF/year)"
"1",1,0
"2",2,0
"3",3,745.806010675397
"4",4,944.288117595579
"5",5,895.627766512937
"6",6,1905.48762550485
"7",7,1689.74193042631
"8",8,1434.41039153001
"9",9,1656.04352651682
"10",10,0
"11",11,0
"12",12,0
"13",13,0
"14",14,0
"15",15,333.664563108506
"16",16,231.130821273232
"17",17,509.323459081245
"18",18,1523.52974462269
"19",19,1123.65561243567
"20",20,1257.73455845482
"21",21,934.077732156305
"22",22,1068.80594802738
"23",23,1044.49904882874
"24",24,599.887066991582
"25",25,1471.94155819199
"26",26,1526.51244721603
"27",27,0
"28",28,31.5582206322518
"29",29,11.2539005039207
"30",30,0
"31",31,0.984705196625609
"32",32,20.8481109244222
"33",33,0
"34",34,0
"35",35,521.637334350974
"36",36,1027.66177242676
"37",37,1185.8859233731
"38",38,890.181103436662
"39",39,1094.47368083999
"40",40,823.861758000421
"41",41,877.562022553788
"42",42,939.539818782374
"43",43,1041.28469967777
"44",44,1148.87284291666
"45",45,1941.5343276765
"46",46,898.688526003091
"47",47,1780.55744647016
"48",48,46.7510291599905
"49",49,4.22016845214075
"50",50,190.374588200817
"51",51,37.4644569974443
"52",52,28.7461835330682
"53",53,363.412450155721
"54",54,63.7666358350864
"55",55,143.630694735273
"56",56,158.545262605861
"57",57,0
"58",58,0
"59",59,0
"60",60,1011.39402508579
"61",61,435.529435235435
"62",62,1079.28649902318
"63",63,847.729748713982
"64",64,718.353703962344
"65",65,605.747414482647
"66",66,614.304177602781
"67",67,522.795843527068
"68",68,555.141086168082
"69",69,848.575246405742
"70",70,903.739429431925
"71",71,689.047028146199
"72",72,1233.8665001038
"73",73,62.8805542132309
"74",74,0
"75",75,0
"76",76,0
"77",77,0
"78",78,0
"79",79,0
"80",80,117.522773551854
"81",81,0
"82",82,43.7987489740463
"83",83,0
"84",84,0
"85",85,0
"86",86,0
"87",87,0
"88",88,0
"89",89,313.363268406008
"90",90,677.609105394773
"91",91,343.757206671453
"92",92,672.605545138353
"93",93,246.590897763023
"94",94,317.412061239319
"95",95,75.7746698013768
"96",96,372.678086222291
"97",97,314.740513963613
"98",98,388.654073922947
"99",99,564.28777756534
"100",100,560.454165649967
"101",101,655.740260343306
"102",102,476.491651088238
"103",103,384.394974455962
"104",104,741.735070533165
"105",105,0
"106",106,0
"107",107,0
"108",108,0
"109",109,0
"110",110,79.4297032365314
"111",111,247.558329827751
"112",112,7.73690387078885
"113",113,0
"114",114,0
"115",115,0
"116",116,0
"117",117,0
"118",118,0
"119",119,0
"120",120,0
"121",121,586.883230784903
"122",122,534.816230148979
"123",123,440.103383323463
"124",124,516.102301451848
"125",125,22.4366555126816
"126",126,167.571051853712
"127",127,125.10568673042
"128",128,80.8425818836081
"129",129,125.547810148465
"130",130,83.6087107029223
"131",131,218.720198055525
"132",132,199.035376251788
"133",133,137.055019875696
"134",134,48.1080159059015
"135",135,121.801843068097
"136",136,299.509428102793
"137",137,120.377476305819
"138",138,244.689658607834
"139",139,221.024302316034
"140",140,304.244131664191
"141",141,163.296083284628
"142",142,210.110968150083
"143",143,0
"144",144,0
"145",145,0
"146",146,0
"147",147,0.515788528097682
"148",148,304.302398000848
"149",149,0
"150",150,0
"151",151,0
"152",152,0
"153",153,0
"154",154,0
"155",155,228.145186518138
"156",156,171.441956699565
"157",157,390.046550848107
"158",158,380.521610793972
"159",159,541.668980388155
"160",160,544.969031977917
"161",161,462.338648582797
"162",162,118.674065543154
"163",163,190.090292785805
"164",164,106.83075458413
"165",165,73.9420825668676
"166",166,147.265644616389
"167",167,297.859839376825
"168",168,242.859532038984
"169",169,52.5898507887903
"170",170,84.0095984896076
"171",171,85.5983099336748
"172",172,272.638404213307
"173",173,114.931377387318
"174",174,150.137460523634
"175",175,71.9436193714384
"176",176,149.408104220963
"177",177,169.138448013408
"178",178,194.56386445643
"179",179,119.233145082875
"180",180,203.471750568866
"181",181,242.617727486824
"182",182,92.3584453489653
"183",183,151.756628730337
"184",184,271.750515763894
"185",185,1021.81062170853
"186",186,690.314739894943
"187",187,0
"188",188,0
"189",189,0
"190",190,0
"191",191,59.130982303729
"192",192,30.0575675869527
"193",193,101.568749911081
"194",194,270.240601527935
"195",195,103.582903584897
"196",196,5.25198961357142
"197",197,151.046816196605
"198",198,32.4967320292435
"199",199,69.3538284083454
"200",200,191.472655749362
"201",201,0
"202",202,524.00346830339
"203",203,448.287191796832
"204",204,382.478926226024
"205",205,245.962919579418
"206",206,244.089610098113
"207",207,88.3402278022829
"208",208,85.9458207095603
"209",209,64.4146766566897
"210",210,252.336335963124
"211",211,401.792823358809
"212",212,458.396676719189
"213",213,354.525940669908
"214",214,324.049849053807
"215",215,281.668454832526
"216",216,61.9719669691653
"217",217,243.386141065558
"218",218,345.258204241681
"219",219,143.067360735097
"220",220,244.565547585013
"221",221,71.4436889910335
"222",222,399.402965976812
"223",223,253.622781563135
"224",224,424.526726877882
"225",225,523.154907479975
"226",226,621.993081746658
"227",227,555.862453923583
"228",228,0
"229",229,0
"230",230,0
"231",231,72.4926606890552
"232",232,0
"233",233,9.84706872251724
"234",234,322.717856164211
"235",235,130.062017447968
"236",236,242.658740522781
"237",237,87.6960581450244
"238",238,150.406212058513
"239",239,117.168797251693
"240",240,93.8026190458666
"241",241,185.787596442907
"242",242,0
"243",243,454.574151798138
"244",244,512.740564596396
"245",245,531.494396376185
"246",246,375.228838695355
"247",247,170.451911585686
"248",248,80.9102280699992
"249",249,143.117568608911
"250",250,137.381763840107
"251",251,105.65287029573
"252",252,306.051217537965
"253",253,458.974315940486
"254",254,134.554389819338
"255",255,559.350279715247
"256",256,613.447859250801
"257",257,572.117332969255
"258",258,255.303421826937
"259",259,702.043739249973
"260",260,768.5030890284
"261",261,717.414607550425
"262",262,256.370496314747
"263",263,259.11058702092
"264",264,325.282884866119
"265",265,317.084608339146
"266",266,202.254051437939
"267",267,364.374403882718
"268",268,360.672544996254
"269",269,0
"270",270,0
"271",271,0
"272",272,0
"273",273,86.7916973257798
"274",274,222.552031722261
"275",275,276.687565040386
"276",276,72.357173484595
"277",277,139.413502077312
"278",278,81.7325632424185
"279",279,6.7992608198327
"280",280,50.1044930040441
"281",281,132.948074968481
"282",282,241.665595489773
"283",283,0
"284",284,149.911524705718
"285",285,346.838494876173
"286",286,377.478317648126
"287",287,338.708863573516
"288",288,124.445905928857
"289",289,45.3608856875986
"290",290,66.5414857997011
"291",291,69.8459513594043
"292",292,126.832254720566
"293",293,237.523125576513
"294",294,334.907959777217
"295",295,552.241807742415
"296",296,560.381280462146
"297",297,630.802857476605
"298",298,672.67276112421
"299",299,595.887423479754
"300",300,733.530498046023
"301",301,1004.13627574466
"302",302,1020.12241200781
"303",303,143.385049539942
"304",304,191.571486972531
"305",305,115.817253684621
"306",306,12.660948471428
"307",307,182.724601901822
"308",308,266.677041067015
"309",309,144.894027095919
"310",310,381.312500916204
