"","Element ID","/Layer_1/Native&Riparian Veg. Area(AF/year)"
"1",1,0
"2",2,0
"3",3,6631.30290543401
"4",4,8339.50489079167
"5",5,7934.55044614432
"6",6,16881.1064756707
"7",7,14969.7710245557
"8",8,12463.7156898625
"9",9,14671.2299388818
"10",10,0
"11",11,0
"12",12,0
"13",13,0
"14",14,0
"15",15,2969.82747885995
"16",16,2056.65352742228
"17",17,4495.54825511256
"18",18,13497.2631118571
"19",19,9954.69599572229
"20",20,11142.5289333911
"21",21,8275.18659372339
"22",22,7783.36830559112
"23",23,9253.43173107357
"24",24,5314.52281070554
"25",25,13040.232766256
"26",26,13523.687487114
"27",27,0
"28",28,80.7601573064362
"29",29,28.7996837844139
"30",30,0
"31",31,2.51994393177785
"32",32,53.3495785071238
"33",33,0
"34",34,0
"35",35,4641.12052628364
"36",36,9104.26683915946
"37",37,10506.0071094171
"38",38,7886.29733859483
"39",39,9696.1672664675
"40",40,7298.76062792774
"41",41,7394.88259124652
"42",42,8323.57634167024
"43",43,9224.95515135658
"44",44,10178.1006230067
"45",45,17200.4516182534
"46",46,7961.6663434916
"47",47,15774.3243449022
"48",48,119.639840065635
"49",49,10.7997682133648
"50",50,487.184682222972
"51",51,95.8747159978242
"52",52,73.5639163926025
"53",53,1299.33210466309
"54",54,163.184217543648
"55",55,799.142733020059
"56",56,405.730744373908
"57",57,0
"58",58,0
"59",59,0
"60",60,8960.14752224215
"61",61,3858.4447734475
"62",62,9561.62090159835
"63",63,7510.21206282708
"64",64,6364.04309399167
"65",65,5240.0004024505
"66",66,5442.24695650507
"67",67,4419.14490912062
"68",68,4918.10897073652
"69",69,7517.70250063863
"70",70,8006.4133349909
"71",71,6104.40923005134
"72",72,10931.0768992776
"73",73,160.916659686021
"74",74,0
"75",75,0
"76",76,0
"77",77,0
"78",78,0
"79",79,0
"80",80,992.711277811468
"81",81,0
"82",82,112.084705224291
"83",83,0
"84",84,0
"85",85,0
"86",86,0
"87",87,0
"88",88,0
"89",89,2776.14959484423
"90",90,6003.07832176157
"91",91,3045.41574026881
"92",92,5958.7507531563
"93",93,2184.59944076829
"94",94,1001.02865936041
"95",95,349.695775975986
"96",96,2320.53843314328
"97",97,2788.35089628009
"98",98,3443.16631411246
"99",99,4999.14138958328
"100",100,4968.62292031685
"101",101,5809.33772913193
"102",102,4221.33746193052
"103",103,3407.93249363573
"104",104,6571.18342560318
"105",105,0
"106",106,0
"107",107,0
"108",108,0
"109",109,0
"110",110,631.004665312395
"111",111,1083.51869648187
"112",112,19.7993917639043
"113",113,0
"114",114,0
"115",115,0
"116",116,0
"117",117,0
"118",118,0
"119",119,0
"120",120,0
"121",121,5199.31915330107
"122",122,4738.04689425348
"123",123,3898.96631956237
"124",124,4572.25635398132
"125",125,151.531976140882
"126",126,559.328901560996
"127",127,814.090932824786
"128",128,713.88925265281
"129",129,1111.08781039544
"130",130,740.706750743463
"131",131,1936.03872629958
"132",132,1763.2953024512
"133",133,963.891925539629
"134",134,373.213949880077
"135",135,1076.27284564186
"136",136,2653.41557646216
"137",137,1060.7879321464
"138",138,2167.75597236427
"139",139,1958.09971745119
"140",140,2695.36128835285
"141",141,1446.67356118749
"142",142,1861.4162472496
"143",143,0
"144",144,0
"145",145,0
"146",146,0
"147",147,1.31994649354385
"148",148,2123.64124508922
"149",149,0
"150",150,0
"151",151,0
"152",152,0
"153",153,0
"154",154,0
"155",155,2018.82067935344
"156",156,1519.34229714049
"157",157,3450.68757084318
"158",158,3368.83250693998
"159",159,4798.75681694745
"160",160,4827.99265218265
"161",161,4095.95310411739
"162",162,665.234501061693
"163",163,1682.27716369818
"164",164,389.472686894284
"165",165,655.068105474268
"166",166,1297.86154096127
"167",167,2638.80153092788
"168",168,2151.54250497713
"169",169,465.390513074921
"170",170,742.291758139047
"171",171,755.224245214477
"172",172,2415.35965349677
"173",173,1018.20069209674
"174",174,1330.09861788778
"175",175,636.551167053797
"176",176,1320.23521479426
"177",177,1498.43227099811
"178",178,1723.68126050503
"179",179,1056.31093617825
"180",180,1802.59805425611
"181",181,2149.40030875571
"182",182,818.222448151671
"183",183,1344.44316179009
"184",184,2407.49366725134
"185",185,9052.43029246274
"186",186,6115.64014896394
"187",187,0
"188",188,0
"189",189,0
"190",190,0
"191",191,151.321187850904
"192",192,76.919859166278
"193",193,259.923026580719
"194",194,1112.54257549723
"195",195,833.471360524791
"196",196,13.4402858864078
"197",197,1335.08294711003
"198",198,134.100434470258
"199",199,437.59197926301
"200",200,1238.55709573797
"201",201,0
"202",202,4642.25441490684
"203",203,3971.46836070201
"204",204,3388.45941159604
"205",205,2179.03605298244
"206",206,2162.44001929924
"207",207,778.043145427858
"208",208,759.925193757504
"209",209,398.777090922766
"210",210,2235.49945854175
"211",211,3559.56519554061
"212",212,4061.03036525362
"213",213,3140.81816786943
"214",214,2870.82420902785
"215",215,2495.35872771974
"216",216,549.022391387113
"217",217,2156.20784256823
"218",218,3058.71338621707
"219",219,1267.463150868
"220",220,2166.65644730675
"221",221,632.934323335109
"222",222,3538.39295784819
"223",223,2246.89634449276
"224",224,3760.96951891501
"225",225,4634.73684018244
"226",226,5510.36453848077
"227",227,4924.49971593253
"228",228,0
"229",229,0
"230",230,0
"231",231,185.514853610821
"232",232,0
"233",233,25.1994821984688
"234",234,1922.24970379143
"235",235,637.050716399288
"236",236,1076.01436820097
"237",237,774.270123560608
"238",238,1327.13985126427
"239",239,1031.14935754751
"240",240,824.451727407014
"241",241,921.979725795641
"242",242,0
"243",243,4027.16583140178
"244",244,4431.98491388037
"245",245,4672.87217221065
"246",246,3324.229396179
"247",247,1510.06851471796
"248",248,532.292918204282
"249",249,1267.15136609766
"250",250,1214.68231001722
"251",251,934.411700575945
"252",252,2711.37063348716
"253",253,4066.14778982711
"254",254,1192.04499200426
"255",255,4955.3990814123
"256",256,5434.66065624084
"257",257,5068.50502997724
"258",258,2261.78548198219
"259",259,6219.54976470489
"260",260,6808.32680261203
"261",261,6355.72344588253
"262",262,2271.23891416673
"263",263,1641.7350696526
"264",264,1559.47183531287
"265",265,2809.11771009337
"266",266,1791.81020740296
"267",267,3228.06772745296
"268",268,3195.2721987999
"269",269,0
"270",270,0
"271",271,0
"272",272,0
"273",273,222.107298462804
"274",274,1043.7324881177
"275",275,1747.91097383072
"276",276,616.978279424229
"277",277,660.482131808962
"278",278,413.085658410649
"279",279,17.399883845669
"280",280,140.720374964536
"281",281,364.594556126925
"282",282,2137.9008489651
"283",283,0
"284",284,383.636278431635
"285",285,1869.78388958744
"286",286,2497.18353983537
"287",287,3000.69143126712
"288",288,1098.57310250897
"289",289,129.527768561009
"290",290,322.097807748063
"291",291,563.445985510896
"292",292,509.058652812568
"293",293,2104.26618342844
"294",294,2967.01844340286
"295",295,4892.42366732589
"296",296,4964.53292891251
"297",297,5588.41215219047
"298",298,5959.34623338873
"299",299,5279.08914685795
"300",300,6498.49743179827
"301",301,8895.84962927163
