"","Element ID","/Layer_1/Native&Riparian Veg. Infiltration (+)(AF/year)"
"1",1,0
"2",2,0
"3",3,1268.82853306766
"4",4,1528.12964705562
"5",5,1483.199763304
"6",6,3028.95592243377
"7",7,2626.32529544963
"8",8,2336.58946684242
"9",9,2675.70021643641
"10",10,0
"11",11,0
"12",12,0
"13",13,0
"14",14,0
"15",15,539.817325251818
"16",16,392.431412247819
"17",17,795.063254190465
"18",18,2376.90333732286
"19",19,1695.42175959293
"20",20,1852.30480150699
"21",21,1511.54117897251
"22",22,1489.1625834009
"23",23,1620.49920935727
"24",24,900.541787382388
"25",25,2277.32118912273
"26",26,2126.95545769517
"27",27,0
"28",28,22.5150034926361
"29",29,7.11386917785839
"30",30,0
"31",31,0.517561381365256
"32",32,9.92643614962771
"33",33,0
"34",34,0
"35",35,851.110269956043
"36",36,1492.40313520525
"37",37,1742.39413777613
"38",38,1260.416902259
"39",39,1639.36064125801
"40",40,1305.52234378228
"41",41,1330.98634790184
"42",42,1469.24630696332
"43",43,1646.13096057691
"44",44,1718.52704197674
"45",45,2907.16700281355
"46",46,1407.2443155715
"47",47,2821.72559587452
"48",48,34.1058977968819
"49",49,3.02625278819568
"50",50,97.3019734191509
"51",51,19.9814302732225
"52",52,16.4875025723776
"53",53,306.457846719896
"54",54,39.3955736391876
"55",55,159.077118458301
"56",56,81.3786199913577
"57",57,0
"58",58,0
"59",59,0
"60",60,1629.62365516516
"61",61,619.87874437342
"62",62,1752.50408570154
"63",63,1376.49719887155
"64",64,1035.29689898608
"65",65,947.065713552224
"66",66,907.618862972803
"67",67,780.422850360899
"68",68,827.749131172219
"69",69,1224.10448286884
"70",70,1338.15424162302
"71",71,972.76460222683
"72",72,1777.44345263019
"73",73,31.5738253461859
"74",74,0
"75",75,0
"76",76,0
"77",77,0
"78",78,0
"79",79,0
"80",80,218.888058616533
"81",81,0
"82",82,21.9849421805802
"83",83,0
"84",84,0
"85",85,0
"86",86,0
"87",87,0
"88",88,0
"89",89,443.953704914602
"90",90,899.877588448079
"91",91,459.909139721108
"92",92,971.138732941465
"93",93,367.219043077503
"94",94,182.115750775944
"95",95,64.7955712295941
"96",96,460.604075007281
"97",97,493.944838071875
"98",98,580.911905502281
"99",99,848.298076419856
"100",100,831.725441060827
"101",101,899.503510190362
"102",102,697.693954589923
"103",103,570.652779865151
"104",104,1063.87875467398
"105",105,0
"106",106,0
"107",107,0
"108",108,0
"109",109,0
"110",110,156.762826871958
"111",111,275.500441654879
"112",112,4.50566999508832
"113",113,0
"114",114,0
"115",115,0
"116",116,0
"117",117,0
"118",118,0
"119",119,0
"120",120,0
"121",121,883.451368488781
"122",122,709.640575217398
"123",123,594.961167154494
"124",124,723.585082875286
"125",125,23.8108067126142
"126",126,105.541161313425
"127",127,144.358320376848
"128",128,96.4105511733339
"129",129,156.645468334677
"130",130,133.203831939122
"131",131,328.207950879795
"132",132,284.442851992728
"133",133,165.198566156727
"134",134,60.0647646803777
"135",135,179.701049850122
"136",136,402.95200807503
"137",137,163.587855266728
"138",138,355.429401657297
"139",139,319.284243693632
"140",140,443.930926132921
"141",141,211.518000965849
"142",142,306.447148464763
"143",143,0
"144",144,0
"145",145,0
"146",146,0
"147",147,0.345868900034102
"148",148,518.819035523093
"149",149,0
"150",150,0
"151",151,0
"152",152,0
"153",153,0
"154",154,0
"155",155,376.180113046001
"156",156,240.101197927825
"157",157,496.699529038687
"158",158,539.511893347203
"159",159,739.850181419199
"160",160,681.34634126371
"161",161,635.726889260855
"162",162,113.223244726317
"163",163,269.059933607469
"164",164,72.1365299700559
"165",165,100.818069173888
"166",166,203.584218940863
"167",167,431.798051445471
"168",168,324.239489656842
"169",169,63.5211657921962
"170",170,125.136610339412
"171",171,127.974715664328
"172",172,357.153427789041
"173",173,149.856158562265
"174",174,209.534657494361
"175",175,106.687319310675
"176",176,197.444383507026
"177",177,244.855552953843
"178",178,253.736213191694
"179",179,177.352788788451
"180",180,304.208039681332
"181",181,331.625796556476
"182",182,135.651415393005
"183",183,223.113169278997
"184",184,441.765231828671
"185",185,1719.00379591784
"186",186,1147.70703023326
"187",187,0
"188",188,0
"189",189,0
"190",190,0
"191",191,38.9783317586199
"192",192,15.3695826833775
"193",193,65.0448390473458
"194",194,263.88437907872
"195",195,170.325690341024
"196",196,2.92268983279008
"197",197,226.54829996193
"198",198,26.1477293126793
"199",199,80.2895458734477
"200",200,212.972574850935
"201",201,0
"202",202,789.421788098715
"203",203,597.307514203765
"204",204,490.226805982517
"205",205,334.563315878081
"206",206,344.868563678195
"207",207,128.016394184912
"208",208,128.887946409873
"209",209,68.1013786945415
"210",210,336.852165949154
"211",211,572.133344793684
"212",212,658.042138364067
"213",213,507.329711398426
"214",214,467.736729110817
"215",215,373.789544435925
"216",216,78.0297620327267
"217",217,340.098664335246
"218",218,468.578855784059
"219",219,190.896870201954
"220",220,329.624667299662
"221",221,91.6476406958574
"222",222,587.974065769559
"223",223,422.274427484912
"224",224,721.46228781335
"225",225,1032.49166528462
"226",226,1005.4761527697
"227",227,756.408312424472
"228",228,0
"229",229,0
"230",230,0
"231",231,42.3277310136633
"232",232,0
"233",233,5.63844850574779
"234",234,441.950240447867
"235",235,148.219560774707
"236",236,248.313993822136
"237",237,152.869738237459
"238",238,246.355914999224
"239",239,164.661818898723
"240",240,130.533517306386
"241",241,161.33071478684
"242",242,0
"243",243,646.636592030556
"244",244,748.802193924837
"245",245,722.721292810789
"246",246,481.550227715825
"247",247,231.242753068171
"248",248,93.9097233029754
"249",249,218.306372969857
