"","Element ID","/Layer_1/Streams_Outflow (-)(AF/year)"
"1",1,9995.67886183311
"2",2,6045.31515709805
"3",3,0
"4",4,0
"5",5,9795.47379306964
"6",6,5109.29769227559
"7",7,19111.0210736462
"8",8,11381.7512465031
"9",9,13879.5893944608
"10",10,20609.1938870944
"11",11,4326.44813895854
"12",12,9066.52429854208
"13",13,6840.40809160864
"14",14,5342.91270508866
"15",15,17946.6438895794
"16",16,15135.0506242749
"17",17,430.422433064109
"18",18,0
"19",19,8565.26402074561
"20",20,22630.2645379831
"21",21,10010.8034401546
"22",22,1711.83663992306
"23",23,4658.53963187102
"24",24,2639.9921399031
"25",25,9533.08680746477
"26",26,9747.74669228292
"27",27,23299.216779641
"28",28,12306.1660601038
"29",29,4452.16406085137
"30",30,3000.6259320863
"31",31,5654.27690314479
"32",32,6408.28016937979
"33",33,10887.7634255692
"34",34,11093.8369811151
"35",35,17235.507134389
"36",36,15364.7182272002
"37",37,0
"38",38,971.09541453556
"39",39,1587.89420712045
"40",40,2992.82631304024
"41",41,1239.5890310054
"42",42,9104.64775439438
"43",43,23149.8465037038
"44",44,395.126254915629
"45",45,305.091869753151
"46",46,1237.85329606133
"47",47,464.231725844317
"48",48,211.163946266305
"49",49,0
"50",50,0
"51",51,2782.55169971019
"52",52,12592.5431422942
"53",53,9580.96581432309
"54",54,720.698588227215
"55",55,0
"56",56,0
"57",57,0
"58",58,2204.51343702453
"59",59,0
"60",60,0
"61",61,0
"62",62,11372.5426635655
"63",63,19621.8423802617
"64",64,10658.845636368
"65",65,0
"66",66,0
"67",67,0
"68",68,10577.2396492034
"69",69,16986.875147473
"70",70,22217.558363565
"71",71,7825.7822509092
"72",72,299.401879589162
"73",73,1540.35331306337
"74",74,3250.42782456819
"75",75,5918.19419108216
"76",76,27014.0669692091
"77",77,14622.4918432474
"78",78,0
"79",79,506.429424779993
"80",80,2255.93928947885
"81",81,4273.08955920022
"82",82,10217.3473344507
"83",83,42812.7185158042
"84",84,21585.5188010398
"85",85,0
"86",86,434.869852164936
"87",87,174.020914228719
"88",88,188.19775790516
"89",89,1430.91634719301
"90",90,29881.7340116755
"91",91,18019.83450388
"92",92,262.789803081236
"93",93,486.179334314251
"94",94,255.014893823141
"95",95,0
"96",96,19354.3189899716
"97",97,16353.397517587
"98",98,723.248863291607
"99",99,384.83719480879
"100",100,444.269413561553
"101",101,0
"102",102,0
"103",103,21447.7842309607
"104",104,21178.8433320779
"105",105,0
"106",106,1972.18273981522
"107",107,1535.64250951997
"108",108,1866.09685696953
"109",109,7538.45145019964
"110",110,27493.9329154053
"111",111,13035.4038130363
"112",112,20180.7306985265
"113",113,15180.8003318233
"114",114,11813.0898907873
"115",115,0
"116",116,7553.31226100608
"117",117,0
"118",118,0
"119",119,1297.26436727459
"120",120,147.94743244447
"121",121,2372.53016187624
"122",122,1244.90122394012
"123",123,1939.44284631669
"124",124,2764.31720590754
"125",125,6488.02701926835
"126",126,6577.55761555709
"127",127,5282.23383098706
"128",128,12177.7454043694
"129",129,6903.89563236222
"130",130,8516.66093154448
"131",131,1661.15969188766
"132",132,204.947529340733
"133",133,8678.08138631836
"134",134,0
"135",135,4951.05460674816
"136",136,4663.95621165584
"137",137,624.374466161302
"138",138,203.281631302134
"139",139,205.905347951272
"140",140,0
"141",141,0
"142",142,0
"143",143,0
"144",144,5992.93312259473
"145",145,7422.49513426971
"146",146,12024.093942899
"147",147,4987.74865268922
"148",148,4738.19464020836
"149",149,7514.25888668481
"150",150,0
"151",151,0
"152",152,0
"153",153,0
"154",154,7748.87562074647
"155",155,6923.32243026123
"156",156,0
"157",157,0
"158",158,16468.650952241
"159",159,14132.1805827571
"160",160,9375.88281015408
"161",161,8328.03131798784
"162",162,0
"163",163,0
"164",164,8543.98505748352
"165",165,9271.72123342573
"166",166,203.04800356029
"167",167,0
"168",168,0
"169",169,0
"170",170,0
"171",171,0
"172",172,18487.9122505125
"173",173,18046.4187422676
"174",174,9371.69870941368
"175",175,10283.2364469132
"176",176,0
"177",177,0
"178",178,7564.36126712083
"179",179,10394.2800356099
"180",180,0
"181",181,0
"182",182,0
"183",183,0
"184",184,0
"185",185,0
"186",186,8952.02636249951
"187",187,14842.2240145611
"188",188,16874.1131943541
"189",189,2521.03429570534
"190",190,5792.6266527811
"191",191,8919.76822125649
"192",192,0
"193",193,0
"194",194,13716.9273297394
"195",195,19343.4369513054
"196",196,3822.86500971969
"197",197,0
"198",198,0
"199",199,0
"200",200,0
"201",201,13105.5721991557
"202",202,0
"203",203,0
"204",204,0
"205",205,0
"206",206,5122.83090699043
"207",207,10432.7472592956
"208",208,6093.82615881283
"209",209,4811.54767861866
"210",210,0
"211",211,0
"212",212,1253.75112205779
"213",213,0
"214",214,0
"215",215,17012.358511133
"216",216,21532.2990720449
"217",217,0
"218",218,0
"219",219,0
"220",220,0
"221",221,0
"222",222,0
"223",223,4133.26224093056
"224",224,17618.4860254776
"225",225,9322.01898932372
"226",226,7203.26766518196
"227",227,5678.13177045246
"228",228,0
"229",229,0
"230",230,20843.1831111064
"231",231,19008.4964516277
"232",232,2041.07626568556
"233",233,0
"234",234,0
"235",235,0
"236",236,4888.18718645201
"237",237,22953.4239888996
"238",238,18342.6807477187
"239",239,5103.04224500708
"240",240,7167.13361967016
"241",241,0
"242",242,0
"243",243,0
"244",244,7871.33935362412
"245",245,14164.9216740553
"246",246,10035.5382165902
"247",247,22767.4792913922
"248",248,3030.15227193365
"249",249,9798.38015848223
"250",250,13381.150798577
"251",251,23118.8304343656
"252",252,7363.2633681206
"253",253,0
"254",254,0
"255",255,0
"256",256,6351.37049382981
"257",257,8162.15280880829
"258",258,6325.74184469899
"259",259,20543.140303579
