"","Element ID","/Layer_1/Deep Percolation_Inflow (+)(AF/year)"
"1",1,3981.05624443633
"2",2,2198.9230318893
"3",3,16631.2713980816
"4",4,5564.62364530556
"5",5,2650.91083103782
"6",6,7646.92580249203
"7",7,13507.1979373391
"8",8,9411.41409974977
"9",9,8494.82504520283
"10",10,12392.4556481379
"11",11,5910.35894315974
"12",12,6226.67043514605
"13",13,4131.54403275571
"14",14,3489.8469137166
"15",15,9147.10472246865
"16",16,9695.97556691718
"17",17,7549.37725971559
"18",18,8818.31836991178
"19",19,9960.37818701773
"20",20,16888.1090519788
"21",21,8067.88909986863
"22",22,1120.288283818
"23",23,5427.59232849619
"24",24,2269.95880910963
"25",25,6698.47176745711
"26",26,7174.69216199019
"27",27,14518.2479437374
"28",28,7606.03035535623
"29",29,8495.56399786974
"30",30,851.070107859862
"31",31,2839.91000018296
"32",32,5177.49067337546
"33",33,6869.27340795276
"34",34,6130.97546341676
"35",35,6161.19601467602
"36",36,7692.2680627748
"37",37,1882.91650607722
"38",38,1846.93866343667
"39",39,5806.83819497471
"40",40,7332.99810837555
"41",41,7236.26053171086
"42",42,4255.87122269243
"43",43,7683.70244215115
"44",44,1792.55434893172
"45",45,3546.12228920326
"46",46,1891.07176724207
"47",47,781.394097777506
"48",48,928.964616517055
"49",49,542.245609969728
"50",50,1624.62310943645
"51",51,587.108691115758
"52",52,4449.63865990568
"53",53,4698.0422856182
"54",54,783.44674105125
"55",55,143.446535440092
"56",56,259.561180918754
"57",57,682.944641732911
"58",58,898.559859112829
"59",59,1158.04638228592
"60",60,1927.93439902034
"61",61,3220.10784243043
"62",62,8041.23740893328
"63",63,7397.01957817536
"64",64,4023.28379188223
"65",65,2331.50347274106
"66",66,2676.23122211222
"67",67,4089.64198417289
"68",68,9099.20543974228
"69",69,7016.78005669565
"70",70,14841.800993561
"71",71,5316.41461016833
"72",72,1398.82429168957
"73",73,2239.1459904025
"74",74,4619.17443661737
"75",75,9342.22260109406
"76",76,12605.876662572
"77",77,6411.84260987938
"78",78,1480.17337534551
"79",79,3346.84307186768
"80",80,3638.47299553641
"81",81,7791.42826064396
"82",82,15941.8835113667
"83",83,17967.235502363
"84",84,4915.51760897911
"85",85,4332.12291963158
"86",86,4630.63174836672
"87",87,1198.18421074632
"88",88,3186.67691156662
"89",89,7109.58783918618
"90",90,9608.00999243091
"91",91,7046.93781610454
"92",92,1617.70804834688
"93",93,2258.74532827859
"94",94,6302.98795409596
"95",95,10539.1420613757
"96",96,7992.85937005255
"97",97,9291.36123578128
"98",98,8383.13608502828
"99",99,2032.03055523771
"100",100,2498.41717326933
"101",101,4339.90951321681
"102",102,6690.59697617493
"103",103,10399.4977516519
"104",104,17019.9667845454
"105",105,9200.04525967895
"106",106,4511.0253058473
"107",107,4524.05210874402
"108",108,5930.2864067266
"109",109,12034.4583211768
"110",110,21994.7567747351
"111",111,10680.3739112689
"112",112,11219.9852695616
"113",113,9305.11594212798
"114",114,12817.178789109
"115",115,5935.73309115108
"116",116,6851.49230618903
"117",117,5206.24203442201
"118",118,7325.02136621186
"119",119,2949.25347737524
"120",120,4134.9519489549
"121",121,5146.17435707546
"122",122,2347.77423571716
"123",123,5462.0871609332
"124",124,7581.59456415037
"125",125,21271.2071483374
"126",126,26039.2675060231
"127",127,11945.6840253549
"128",128,15088.9181328325
"129",129,8843.77792022762
"130",130,8496.29590443267
"131",131,10952.8753037684
"132",132,11791.920894128
"133",133,7213.51474844215
"134",134,8482.11821879471
"135",135,25002.1924613913
"136",136,8019.59946712643
"137",137,3158.14054397974
"138",138,2109.08160012153
"139",139,2611.81258861195
"140",140,12122.2913339636
"141",141,21068.0101877128
"142",142,23627.1061777897
"143",143,12487.5236664754
"144",144,6844.94195056331
"145",145,8496.45255639136
"146",146,11722.3685627123
"147",147,5136.7259142353
"148",148,3359.7184417237
"149",149,3286.51183974853
"150",150,11619.2957548099
"151",151,1006.20592262415
"152",152,12660.2533904974
"153",153,3262.96056323716
"154",154,3795.90653026398
"155",155,3094.52815988961
"156",156,24931.7575595262
"157",157,2838.37005258085
"158",158,11539.3673162427
"159",159,8957.7878096916
"160",160,4445.90478940634
"161",161,5169.91955688483
"162",162,5100.51200983094
"163",163,4618.60517006211
"164",164,7722.3986675998
"165",165,7914.4835478197
"166",166,950.44572701359
"167",167,1999.51218878438
"168",168,8003.85749213499
"169",169,7298.49511546729
"170",170,2756.2627483043
"171",171,4027.98510963766
"172",172,13382.5053936263
"173",173,22661.1579403127
"174",174,11172.0192821389
"175",175,1742.7021556535
"176",176,2199.7111762871
"177",177,4269.22853361272
"178",178,28078.3095032743
"179",179,16654.5836178433
"180",180,1.13451250516346e-07
"181",181,0.0374053372816047
"182",182,3275.90744244861
"183",183,1350.94542359974
"184",184,551.789274288164
"185",185,2664.80938485043
"186",186,5012.81899515004
"187",187,24111.0659665168
"188",188,26608.4862322096
"189",189,5281.37342135142
"190",190,1285.80790161962
"191",191,2008.56882175032
"192",192,3476.67522792232
"193",193,2910.52051435952
"194",194,27282.813850007
"195",195,18511.2658725147
"196",196,10940.1504828175
"197",197,1002.54675516206
"198",198,694.857294643272
"199",199,442.376589095136
"200",200,741.543022259194
"201",201,13780.3518954826
"202",202,723.359130767664
"203",203,1351.58928940019
"204",204,901.516251069313
"205",205,1791.4592886751
"206",206,3212.88474424479
"207",207,13710.7993371173
"208",208,1952.30505611242
"209",209,2906.47269823524
"210",210,2483.63146880941
"211",211,2841.23351699038
"212",212,856.699701387201
"213",213,1683.90051773645
"214",214,3089.08365901933
"215",215,12675.5885746821
"216",216,18055.4625039557
"217",217,1030.47397738211
"218",218,2848.4489552711
"219",219,1744.5375722738
"220",220,2637.10863302541
"221",221,2369.49309924971
"222",222,562.621189180343
"223",223,816.788453791872
"224",224,11343.8032637154
"225",225,8866.87024223722
"226",226,475.520890925388
"227",227,2355.27455737271
"228",228,19538.1013498735
"229",229,6000.98101390505
"230",230,17259.9616042024
"231",231,11004.5348144047
"232",232,9032.55330129519
"233",233,2534.40367457953
"234",234,1967.92630596115
"235",235,434.758454011769
"236",236,1842.56405948866
"237",237,8932.57201656412
"238",238,9851.66382414517
"239",239,210.867119045753
"240",240,7850.64426699766
"241",241,3874.47980647221
"242",242,3438.50806832826
"243",243,2061.89543809532
"244",244,743.937395322699
"245",245,5004.15228004391
"246",246,2185.20985950908
"247",247,11074.4091540018
"248",248,4148.07946429308
"249",249,11364.6072454586
"250",250,11417.9552012004
"251",251,25037.8630569668
"252",252,32675.973700703
"253",253,2048.81016750179
"254",254,2747.84664548918
"255",255,10284.3115307177
"256",256,13598.1394041813
"257",257,1694.79584691638
"258",258,2687.98450785164
"259",259,7642.93598648807
"260",260,19962.6944253524
"261",261,173.209003342147
"262",262,13292.015246233
"263",263,9490.53868256584
"264",264,1873.73760843394
"265",265,3378.78505784977
"266",266,9404.4843342307
"267",267,13690.74613114
"268",268,14571.5440308536
"269",269,618.790593188763
"270",270,203.491228932352
"271",271,4221.92799815974
"272",272,2843.83781303021
"273",273,46.6783799682527
"274",274,4335.90417534637
"275",275,25265.4249677637
"276",276,11773.1384833764
"277",277,9310.82773741258
"278",278,28520.872803966
"279",279,593.069188891025
"280",280,2826.99859394289
"281",281,9020.23998711997
"282",282,17250.31674745
"283",283,16690.8035364763
"284",284,5.49302339105702
"285",285,208.057908172198
"286",286,10445.2014007473
"287",287,16545.9073447157
"288",288,4681.3523852536
"289",289,3352.04336206736
"290",290,6620.67920626002
"291",291,28733.6161552944
"292",292,1468.36805665689
"293",293,4663.07298715631
"294",294,13671.8527100833
"295",295,12254.3460019736
"296",296,12242.5405666233
"297",297,1199.56075357831
"298",298,104.940539386937
"299",299,14563.2101171983
"300",300,14764.3975808303
"301",301,14309.2194069892
"302",302,10350.8849008424
"303",303,916.569876320383
"304",304,1459.099996648
"305",305,14013.0667982902
"306",306,14908.1023358258
"307",307,12795.9259910559
"308",308,3335.45003075519
"309",309,95.7657002108568
"310",310,387.597630868969
"311",311,3835.61889545501
"312",312,3882.17318928687
"313",313,4763.9874692837
"314",314,7522.79160234981
"315",315,7124.58041948353
"316",316,3031.35091148894
"317",317,13695.081994112
"318",318,18239.147346705
"319",319,20009.0268867528
"320",320,7398.81048486304
"321",321,1034.94552257884
"322",322,28309.013044088
"323",323,7405.11944004646
"324",324,631.216374780821
"325",325,10055.7751876861
"326",326,2858.48060386946
"327",327,4485.73371043878
"328",328,5711.11740686556
"329",329,12239.2164030178
"330",330,31848.9243656738
"331",331,11289.0898215888
"332",332,16043.9622678592
"333",333,62694.9400936384
"334",334,19954.5366836107
"335",335,10933.6188317196
"336",336,18759.0789018901
"337",337,4133.71013164561
"338",338,24739.5945408095
"339",339,19722.7849994085
"340",340,15263.5728634067
"341",341,29839.6826625239
"342",342,4836.13483335069
"343",343,4797.69825933523
"344",344,4190.07952720781
"345",345,13959.0286544743
"346",346,6776.47869676853
"347",347,11685.707298572
"348",348,10711.8054765106
"349",349,27781.2518088654
"350",350,30244.8051155078
"351",351,21762.2249380552
"352",352,22686.9810855
"353",353,2387.17937490959
"354",354,15392.9216054655
"355",355,11812.8701308166
