"","Element ID","/Layer_1/Diversion Recoverable Loss_Inflow (+)(AF/year)"
"1",1,124.055288662101
"2",2,136.006451780779
"3",3,93.9729474692215
"4",4,67.4914285714286
"5",5,46.9113366980195
"6",6,283.943850071617
"7",7,140.164380959851
"8",8,981.273137243912
"9",9,189.970902602395
"10",10,169.541084802169
"11",11,37.6210035714429
"12",12,37.6210035714429
"13",13,3304.80279741397
"14",14,1009.63159770437
"15",15,218.329363062854
"16",16,70.7846417706296
"17",17,0
"18",18,37.6210035714429
"19",19,2315.60101750983
"20",20,2343.95947797029
"21",21,126.700427170987
"22",22,0
"23",23,0
"24",24,79.7806288124142
"25",25,79.7806288124142
"26",26,2315.60101750983
"27",27,2397.20591853865
"28",28,137.520686429185
"29",29,137.520686429185
"30",30,0
"31",31,0
"32",32,79.7806288124142
"33",33,79.7806288124142
"34",34,2315.60101750983
"35",35,2315.60101750983
"36",36,55.9157854003575
"37",37,0
"38",38,0
"39",39,0
"40",40,0
"41",41,0
"42",42,0
"43",43,0
"44",44,0
"45",45,0
"46",46,0
"47",47,0
"48",48,0
"49",49,0
"50",50,0
"51",51,0
"52",52,960.843319443685
"53",53,0
"54",54,0
"55",55,0
"56",56,0
"57",57,0
"58",58,0
"59",59,0
"60",60,0
"61",61,0
"62",62,0
"63",63,0
"64",64,0
"65",65,0
"66",66,0
"67",67,0
"68",68,0
"69",69,293.252922824302
"70",70,220.748916033072
"71",71,220.748916033072
"72",72,0
"73",73,0
"74",74,0
"75",75,159.517777324402
"76",76,452.770700148704
"77",77,789.743199576362
"78",78,0
"79",79,0
"80",80,0
"81",81,64.2701019897057
"82",82,223.787879314108
"83",83,426.275339426987
"84",84,568.99428354329
"85",85,568.99428354329
"86",86,64.2701019897057
"87",87,0
"88",88,64.2701019897057
"89",89,179.461632601951
"90",90,381.94909271483
"91",91,560.993257009849
"92",92,560.993257009849
"93",93,64.2701019897057
"94",94,115.191530612245
"95",95,115.191530612245
"96",96,317.678990725125
"97",97,560.993257009849
"98",98,560.993257009849
"99",99,64.2701019897057
"100",100,0
"101",101,0
"102",102,408.444453436547
"103",103,24.4260679008224
"104",104,0
"105",105,0
"106",106,0
"107",107,0
"108",108,0
"109",109,592.724499477724
"110",110,885.977422302026
"111",111,24.4260679008224
"112",112,24.4260679008224
"113",113,0
"114",114,0
"115",115,0
"116",116,0
"117",117,0
"118",118,0
"119",119,0
"120",120,0
"121",121,0
"122",122,0
"123",123,0
"124",124,487.374095238095
"125",125,487.374095238095
"126",126,780.627018062397
"127",127,487.374095238095
"128",128,3.29175844167507
"129",129,3.29175844167507
"130",130,1029.88128679002
"131",131,651.352186808302
"132",132,0
"133",133,1022.85264365089
"134",134,651.352186808302
"135",135,651.352186808302
"136",136,651.352186808302
"137",137,0
"138",138,0
"139",139,0
"140",140,293.252922824302
"141",141,0
"142",142,780.627018062397
"143",143,0
"144",144,1472.0837333978
"145",145,3.29175844167507
"146",146,1029.88128679001
"147",147,3445.51193383211
"148",148,651.352186808302
"149",149,3445.51193383211
"150",150,651.352186808302
"151",151,651.352186808302
"152",152,3445.51193383211
"153",153,651.352186808302
"154",154,213.654797817457
"155",155,213.654797817457
"156",156,1012.85862517269
"157",157,1472.0837333978
"158",158,1475.37549183948
"159",159,1022.85264365089
"160",160,2794.15974702381
"161",161,2794.15974702381
"162",162,2794.15974702381
"163",163,2794.15974702381
"164",164,0
"165",165,213.654797817457
"166",166,0
"167",167,0
"168",168,293.252922824302
"169",169,0
"170",170,1472.0837333978
"171",171,1472.0837333978
"172",172,1472.0837333978
"173",173,1022.85264365089
"174",174,2794.15974702381
"175",175,2794.15974702381
"176",176,2794.15974702381
"177",177,2794.15974702381
"178",178,0
"179",179,328.118909369515
"180",180,0
"181",181,293.252922824302
"182",182,293.252922824302
"183",183,293.252922824302
"184",184,1472.0837333978
"185",185,1472.0837333978
"186",186,1472.0837333978
"187",187,1472.0837333978
"188",188,0
"189",189,2794.15974702381
"190",190,2794.15974702381
"191",191,2794.15974702381
"192",192,2794.15974702381
"193",193,2794.15974702381
"194",194,2908.62385857587
"195",195,114.464111552058
"196",196,2550.81395800736
"197",197,293.252922824302
"198",198,1472.0837333978
"199",199,1472.0837333978
"200",200,459.225108225108
"201",201,1472.0837333978
"202",202,293.252922824302
"203",203,1472.0837333978
"204",204,1472.0837333978
"205",205,0
"206",206,1472.0837333978
"207",207,0
"208",208,1856.9742764574
"209",209,2794.15974702381
"210",210,2794.15974702381
"211",211,2794.15974702381
"212",212,2928.89251189553
"213",213,2928.89251189553
"214",214,2794.15974702381
"215",215,2908.62385857587
"216",216,2617.3625667139
"217",217,868.393507239887
"218",218,1587.99920958828
"219",219,1472.0837333978
"220",220,1128.77410136317
"221",221,1128.77410136317
"222",222,1587.99920958828
"223",223,1472.0837333978
"224",224,0
"225",225,1856.9742764574
"226",226,1856.9742764574
"227",227,2928.89251189553
"228",228,0
"229",229,2794.15974702381
"230",230,2908.62385857587
"231",231,2617.3625667139
"232",232,2550.81395800736
"233",233,293.252922824302
"234",234,1332.42209217269
"235",235,1332.42209217269
"236",236,1332.42209217269
"237",237,1332.42209217269
"238",238,1856.9742764574
"239",239,1856.9742764574
"240",240,2928.89251189553
"241",241,293.252922824302
"242",242,1332.42209217269
"243",243,1332.42209217269
"244",244,1332.42209217269
"245",245,1332.42209217269
"246",246,319.563466999993
"247",247,2278.69257008843
"248",248,0
"249",249,2837.56749306281
"250",250,555.542269848522
"251",251,2554.37219141793
"252",252,2550.81395800736
"253",253,293.252922824302
"254",254,1332.42209217269
"255",255,1332.42209217269
"256",256,1332.42209217269
"257",257,1332.42209217269
"258",258,1332.42209217269
"259",259,1332.42209217269
"260",260,2147.37173844217
"261",261,0
"262",262,293.252922824302
"263",263,319.563466999993
"264",264,1332.42209217269
"265",265,1332.42209217269
"266",266,1012.85862517269
"267",267,1474.18198579429
"268",268,3063.52604532864
"269",269,1091.28615522485
"270",270,1572.33436951057
"271",271,4569.10855479811
"272",272,555.542269848522
"273",273,0
"274",274,293.252922824302
"275",275,293.252922824302
"276",276,3514.53955249015
"277",277,2182.11746031746
"278",278,6716.1087698215
"279",279,1706.96790294367
"280",280,4088.0603405124
"281",281,555.542269848522
"282",282,37.1247691758628
"283",283,940.154884151974
"284",284,0
"285",285,0
"286",286,293.252922824302
"287",287,293.252922824302
"288",288,612.816389824295
"289",289,2182.11746031746
