"","Element ID","/Layer_1/Small Watershed Percolation_Inflow (+)(AF/year)"
"1",1,445.852868362122
"2",2,406.337310298424
"3",3,88.0128158536037
"4",4,0
"5",5,656.349577065817
"6",6,109.73805099587
"7",7,240.460252290974
"8",8,313.588142795944
"9",9,707.007900050823
"10",10,755.89581894787
"11",11,425.654286978796
"12",12,371.824942228342
"13",13,25.9347503950689
"14",14,47.8936923630589
"15",15,692.747250060445
"16",16,732.978141514116
"17",17,743.612851598599
"18",18,681.281968131695
"19",19,60.5120684980812
"20",20,792.576821984096
"21",21,449.495291757866
"22",22,0
"23",23,196.60717248681
"24",24,165.751233937972
"25",25,307.151807506251
"26",26,0
"27",27,831.719569991964
"28",28,498.594642160473
"29",29,0
"30",30,0
"31",31,0
"32",32,136.213346991927
"33",33,149.078089186589
"34",34,0
"35",35,0
"36",36,0
"37",37,0
"38",38,0
"39",39,0
"40",40,0
"41",41,0
"42",42,0
"43",43,0
"44",44,0
"45",45,0
"46",46,0
"47",47,0
"48",48,0
"49",49,0
"50",50,0
"51",51,0
"52",52,0
"53",53,0
"54",54,0
"55",55,0
"56",56,0
"57",57,0
"58",58,0
"59",59,79.5068735542617
"60",60,212.281149307047
"61",61,233.146518066053
"62",62,329.935248738683
"63",63,125.762809792664
"64",64,74.6436594371987
"65",65,161.205308811397
"66",66,239.618547746237
"67",67,242.331344833817
"68",68,305.777321867772
"69",69,475.18542477068
"70",70,612.221870870858
"71",71,282.151374518836
"72",72,55.6199364657703
"73",73,98.636318750513
"74",74,61.1567477095062
"75",75,0
"76",76,372.091390542194
"77",77,223.510715342699
"78",78,0
"79",79,1308.06894659836
"80",80,1115.45743985337
"81",81,0
"82",82,0
"83",83,70.8760399625176
"84",84,105.501380531131
"85",85,67.2816351801154
"86",86,1134.67594305359
"87",87,337.717688488954
"88",88,0
"89",89,0
"90",90,57.2720065685424
"91",91,78.9434879651417
"92",92,27.3159259830279
"93",93,451.316867744284
"94",94,0
"95",95,0
"96",96,0
"97",97,0
"98",98,0
"99",99,492.42151215339
"100",100,576.07931558185
"101",101,0
"102",102,0
"103",103,172.558832655761
"104",104,479.70120185322
"105",105,276.615741779979
"106",106,0
"107",107,0
"108",108,0
"109",109,0
"110",110,231.948974565759
"111",111,113.353561585906
"112",112,328.577348422426
"113",113,469.624830204575
"114",114,933.841271350031
"115",115,446.238616349165
"116",116,934.261386157313
"117",117,1021.35836998757
"118",118,563.437573026194
"119",119,628.480068686902
"120",120,357.335793034385
"121",121,0
"122",122,0
"123",123,0
"124",124,0
"125",125,0
"126",126,0
"127",127,0
"128",128,0
"129",129,68.4053722241806
"130",130,300.733383926998
"131",131,292.195010633549
"132",132,40.6380751164448
"133",133,0
"134",134,0
"135",135,0
"136",136,34.3284349852365
"137",137,0
"138",138,0
"139",139,0
"140",140,0
"141",141,0
"142",142,0
"143",143,0
"144",144,0
"145",145,0
"146",146,0
"147",147,0
"148",148,0
"149",149,113.01485248262
"150",150,71.949845444852
"151",151,38.2748706726974
"152",152,209.104517170182
"153",153,110.2604988656
"154",154,72.5545915046464
"155",155,61.8905013637797
"156",156,30.4959163294457
"157",157,13.7116463064792
"158",158,0
"159",159,0
"160",160,0
"161",161,184.901538307626
"162",162,223.791704398921
"163",163,37.9282130711234
"164",164,79.6135507202339
"165",165,82.3454602801963
"166",166,0
"167",167,18.7145474513066
"168",168,52.6370510413979
"169",169,64.8829073343185
"170",170,13.4781876156363
"171",171,39.4463785482006
"172",172,25.5731415456532
"173",173,0
"174",174,123.563883758761
"175",175,260.933642841663
"176",176,130.789811785544
"177",177,0
"178",178,18.7096615644125
"179",179,26.4769520541085
"180",180,10.5196096058195
"181",181,48.5655758523383
"182",182,33.0576450796048
"183",183,16.8834563856747
"184",184,20.5640888708768
"185",185,30.4861354213282
"186",186,49.1522208531306
"187",187,24.0659871777305
"188",188,0
"189",189,0
"190",190,83.1510477345088
"191",191,129.146656702208
"192",192,0
"193",193,0
"194",194,19.1751542737906
"195",195,65.5123754888566
"196",196,38.2855253071709
"197",197,30.2889490060659
"198",198,50.1708382962922
"199",199,23.8586160338871
"200",200,38.0759517012471
"201",201,50.410692563492
"202",202,20.5776673020692
"203",203,60.6886927718478
"204",204,77.0843051769776
"205",205,130.802568591805
"206",206,120.244297590206
"207",207,0
"208",208,0
"209",209,0
"210",210,0
"211",211,0
"212",212,0
"213",213,0
"214",214,37.2725898373905
"215",215,60.6956246316149
"216",216,58.6353539782606
"217",217,5.87034544140729
"218",218,42.3821184619605
"219",219,97.8261060749072
"220",220,24.1786308877927
"221",221,64.2055196121788
"222",222,76.4584402853555
"223",223,95.2782014472655
"224",224,115.341666302348
"225",225,0
"226",226,52.0939165818796
"227",227,41.4282196765299
"228",228,0
"229",229,52.6087756086378
"230",230,108.728994617243
"231",231,68.8190032141578
"232",232,27.646085674395
"233",233,31.6481850998977
"234",234,96.2805905985823
"235",235,92.7743411884
"236",236,84.4163354846866
"237",237,60.3316643550644
"238",238,107.381195909708
"239",239,107.89799340542
"240",240,148.994287888835
"241",241,26.7348535465091
"242",242,42.6619179943981
"243",243,174.874157412904
"244",244,218.146444886972
"245",245,79.3235018801093
"246",246,0
"247",247,198.817029532925
"248",248,101.290322602899
"249",249,19.7318904166288
"250",250,36.8645891991988
"251",251,75.3990616542778
"252",252,27.7099038975027
"253",253,98.7192534366973
"254",254,79.7753236475267
"255",255,67.6298299109354
"256",256,174.6688760754
"257",257,57.2742834664531
"258",258,44.3880848638255
"259",259,0
"260",260,204.170410960429
"261",261,121.38790660525
