"","Element ID","/Layer_2/Pumping by Element_Outflow (-)(AF/year)"
"302",302,0
"303",303,127.232310807938
"304",304,8.24767421950891
"305",305,0
"306",306,414.608647746084
"307",307,1666.91844983655
"308",308,152.639679516089
"309",309,0
"310",310,8.82928491771723
"311",311,0.0810639583275862
"312",312,0
"313",313,0
"314",314,0
"315",315,0
"316",316,0
"317",317,0
"318",318,130.141307372349
"319",319,1383.68717418188
"320",320,102.417712435641
"321",321,7.87106532243127
"322",322,0
"323",323,0
"324",324,0
"325",325,0
"326",326,0
"327",327,0
"328",328,0
"329",329,0
"330",330,0
"331",331,0
"332",332,0
"333",333,138.267347261639
"334",334,273.609268920102
"335",335,2015.49405777689
"336",336,18.3750885317271
"337",337,0
"338",338,0
"339",339,0
"340",340,0
"341",341,0
"342",342,0
"343",343,0
"344",344,0
"345",345,0
"346",346,401.789967795401
"347",347,2899.63337656732
"348",348,26.5395345955166
"349",349,611.019448046344
"350",350,0
"351",351,0
"352",352,0
"353",353,0
"354",354,230.34103602697
"355",355,684.717262815343
"356",356,832.081649322394
"357",357,0
"358",358,0
"359",359,0
"360",360,191.664317510878
"361",361,0
"362",362,0
"363",363,0
"364",364,0
"365",365,0
"366",366,70.1437362565787
"367",367,692.970879222476
"368",368,213.815593621767
"369",369,0
"370",370,138.191172286323
"371",371,696.450132988945
"372",372,1605.51522495958
"373",373,299.696698178483
"374",374,349.965323655831
"375",375,488.695661870448
"376",376,228.571456393439
"377",377,52.9696689704475
"378",378,49.8871357978741
"379",379,133.730524781048
"380",380,863.63420033695
"381",381,1972.48050880611
"382",382,1455.70867521822
"383",383,363.340909713992
"384",384,821.006664999424
"385",385,420.568303854093
"386",386,17.5770746446163
"387",387,14.7271985495879
"388",388,106.81085530746
"389",389,1539.28365681136
"390",390,966.830355047674
"391",391,18.4512005355429
"392",392,12.1312292300046
"393",393,427.777555171023
"394",394,5728.01599909615
"395",395,691.215316638918
"396",396,359.513354866131
"397",397,0
"398",398,697.219173421155
"399",399,0
"400",400,5.24528479564707
"401",401,37.8585823437035
"402",402,0
"403",403,0
"404",404,0
"405",405,195.456959345848
"406",406,0.24186055824949
"407",407,5.66253922695919
"408",408,88.8553525087107
"409",409,0
"410",410,0
"411",411,22.6480303362129
"412",412,2402.36834746723
"413",413,668.44636243217
"414",414,8.80299011118444
"415",415,364.215013797744
"416",416,278.319288083317
"417",417,314.315387951611
"418",418,1759.46637884978
"419",419,278.605844932493
"420",420,11.0173662192251
"421",421,292.158104466764
"422",422,772.256326693007
"423",423,179.24636548301
"424",424,2.71982447316476
"425",425,0
"426",426,10.6119751209493
"427",427,0
"428",428,0
"429",429,0
"430",430,247.937024303705
"431",431,172.804309693575
"432",432,447.249977887777
"433",433,6387.62514688603
"434",434,1524.32266638239
"435",435,536.125167436698
"436",436,211.52087627167
"437",437,216.954676054603
"438",438,55.1434613494331
"439",439,0.206815748361723
"440",440,1.86042529959624
"441",441,0
"442",442,330.456553219779
"443",443,0
"444",444,0
"445",445,0
"446",446,0
"447",447,2.02912499941413
"448",448,8.00444329140777
"449",449,566.429335323893
"450",450,1227.34440790572
"451",451,2395.7827800222
"452",452,1029.26576203697
"453",453,134.536689015034
"454",454,25.2090705025723
"455",455,0
"456",456,1.34574637542929
"457",457,0
"458",458,0
"459",459,0
"460",460,29.3025278477477
"461",461,62.5659841885001
"462",462,99.9554406043473
"463",463,23.4833178119465
"464",464,0
"465",465,0
"466",466,0
"467",467,0
"468",468,0
"469",469,0
"470",470,666.376311829209
"471",471,400.158625918195
"472",472,0
"473",473,0
"474",474,700.314135524611
"475",475,2.10186120279105
"476",476,83.5892728194372
"477",477,0
"478",478,0
"479",479,213.708950536514
"480",480,0.595406179603113
"481",481,281.648850126241
"482",482,1.35460047964366
"483",483,0
"484",484,0
"485",485,0
"486",486,0
"487",487,0
"488",488,0
"489",489,0
"490",490,0
"491",491,0
"492",492,0
"493",493,3.6668968106747
"494",494,615.101565328449
"495",495,142.546571739379
"496",496,8.50269558129178
"497",497,177.504634258118
"498",498,0
"499",499,0
"500",500,496.719204647259
"501",501,157.750061708313
"502",502,0
"503",503,0
"504",504,0
"505",505,0
"506",506,755.933517651271
"507",507,0
"508",508,821.756940034753
"509",509,2905.18081279732
"510",510,4015.29579185077
"511",511,3152.81781210355
"512",512,1488.76882186993
"513",513,2827.85423573321
"514",514,5844.86798201141
"515",515,4217.42240196706
"516",516,2119.47633129068
"517",517,433.710166632269
"518",518,11.0580439403219
"519",519,767.032257497059
"520",520,1966.34683518391
"521",521,4340.68614558478
"522",522,2313.17861718253
"523",523,5510.44743794852
"524",524,3125.41895705358
"525",525,3516.63086960182
"526",526,2169.99125895004
"527",527,176.780081936337
"528",528,0
"529",529,5.46278508310351
"530",530,225.798782812654
"531",531,0
"532",532,0
"533",533,315.214665000163
"534",534,0
"535",535,0
"536",536,0
"537",537,0
"538",538,94.3101283825415
"539",539,0
"540",540,0
"541",541,0
"542",542,0
"543",543,0
"544",544,12516.1238644974
"545",545,3981.04970945171
"546",546,6421.14901357369
"547",547,16627.7310309541
"548",548,5411.03824830105
"549",549,3236.46084562754
"550",550,530.955980291503
"551",551,0
"552",552,0
"553",553,78.8969165533666
"554",554,25.5406941211317
"555",555,0
"556",556,0
"557",557,0
"558",558,0
"559",559,0
"560",560,0
"561",561,0
"562",562,0
"563",563,229.194299237864
"564",564,3309.53134767225
"565",565,12833.0563988699
"566",566,13916.9221130889
"567",567,3652.2207853804
"568",568,148.023273866978
"569",569,66.134178566042
"570",570,0
"571",571,71.2867673550537
"572",572,0.0140925344150683
"573",573,2917.58065285748
"574",574,475.663897900075
"575",575,0
"576",576,1264.68376156058
"577",577,0
"578",578,1252.82465498624
"579",579,0
"580",580,0
"581",581,5323.28769326218
"582",582,7479.16766497855
"583",583,4513.31674978441
"584",584,11956.7529676936
"585",585,12861.7763982214
"586",586,5188.51872965661
"587",587,113.097845254734
"588",588,1911.53437201413
"589",589,0
"590",590,0
"591",591,6579.30331098132
"592",592,3732.34955436217
"593",593,7526.59710603498
"594",594,10322.4288434537
"595",595,14136.2201600475
"596",596,9539.5169746676
"597",597,2124.27948748415
"598",598,585.153838293973
"599",599,6690.39944780448
"600",600,1203.02274557827
"601",601,3974.16977494223
"602",602,846.794645958506
"603",603,33.7616729910363
"604",604,1227.57343046321
"605",605,1077.50017372611
"606",606,8962.00017309102
"607",607,11099.9876857808
"608",608,3505.24908941421
"609",609,14474.2729217932
"610",610,17488.1786137196
"611",611,2952.08151712936
"612",612,1714.37038546193
"613",613,1126.08270283229
"614",614,2230.08582574535
"615",615,2120.49134590653
"616",616,488.344361996225
"617",617,434.287721018178
"618",618,2605.4680762917
"619",619,3408.86863597004
"620",620,2041.08605761107
"621",621,921.997637695482
"622",622,5658.39433623052
"623",623,185.684900290627
"624",624,492.317139592502
"625",625,2963.21957670164
"626",626,28601.4776907559
"627",627,1112.37846299648
"628",628,2188.10772316603
"629",629,533.953968476458
"630",630,4181.28740980199
"631",631,2721.96061047984
"632",632,1221.27129508598
"633",633,514.154985764242
"634",634,8452.03032087379
"635",635,5401.06660732962
"636",636,2543.40230973569
"637",637,14182.419916876
"638",638,3039.09172894883
"639",639,406.371811093524
"640",640,4124.11458648354
"641",641,2716.12635248208
"642",642,2026.43780378814
"643",643,287.801872887605
"644",644,3914.31965711613
"645",645,2552.65937580691
"646",646,3236.54944468312
"647",647,5343.58014276093
"648",648,11814.7807828141
"649",649,5865.93558877102
"650",650,2320.74359559851
"651",651,249.343538525152
"652",652,3785.8279696848
"653",653,3496.09561396736
"654",654,1855.27505975871
"655",655,152.919605749031
"656",656,4340.54399191729
"657",657,2035.41423192316
"658",658,3494.85198622837
"659",659,749.610549472483
"660",660,1347.34172893918
"661",661,741.558925415921
"662",662,4167.30189752926
"663",663,9997.55989537269
"664",664,8503.86626549139
"665",665,7951.87798954179
"666",666,4117.77430382457
"667",667,11570.0856876855
"668",668,2748.62981416393
"669",669,2682.10857296583
"670",670,2490.37659592655
"671",671,622.432615988406
"672",672,1849.05011532842
"673",673,8079.30049035143
"674",674,11406.1214480687
"675",675,9600.60118630501
"676",676,13703.6971029438
"677",677,16720.7264101954
"678",678,5601.36100915828
"679",679,702.815885982963
"680",680,10086.5668656655
"681",681,804.35522448661
"682",682,2707.66484593766
"683",683,427.094972064847
"684",684,172.190896140395
"685",685,5233.70723101277
"686",686,15355.6048420974
"687",687,12681.5031102202
"688",688,22617.5635356757
"689",689,8114.46440045594
