"","Element ID","/Layer_1/GW Storage_Inflow (+)(AF/year)"
"1",1,6534.60555694159
"2",2,5175.41593642854
"3",3,4100.67543341721
"4",4,1363.67712662426
"5",5,4772.57251212661
"6",6,2019.45790352253
"7",7,7721.02886273991
"8",8,5283.33449347109
"9",9,3280.18331399775
"10",10,5454.69584166908
"11",11,3397.41245098556
"12",12,3941.3853399276
"13",13,2695.73510044948
"14",14,2195.46144015638
"15",15,5009.03209183126
"16",16,4178.65608386526
"17",17,3261.11154029415
"18",18,1659.52349582863
"19",19,4241.45308828528
"20",20,6671.66192334452
"21",21,2778.98898831021
"22",22,1696.1472737157
"23",23,3197.96988663993
"24",24,812.499572900431
"25",25,1622.92396278449
"26",26,1847.24822889465
"27",27,6191.82194808262
"28",28,3494.32122292164
"29",29,2082.81126321137
"30",30,4076.75985077396
"31",31,3326.56362281085
"32",32,1919.29687423365
"33",33,1668.06140406899
"34",34,1904.17749854145
"35",35,4524.15763484259
"36",36,5277.32544424046
"37",37,4105.6604452162
"38",38,2367.45828997695
"39",39,3059.03848581816
"40",40,2432.99978562277
"41",41,999.481253170033
"42",42,4026.78780371522
"43",43,8128.16782867844
"44",44,7058.60046161753
"45",45,3270.6627744679
"46",46,9112.54881925564
"47",47,2997.18163911283
"48",48,3014.04080478304
"49",49,675.809778263218
"50",50,229.178690869285
"51",51,1066.97536117526
"52",52,5532.26042011625
"53",53,6046.26205960747
"54",54,5682.86850120439
"55",55,683.081772528842
"56",56,339.035686949781
"57",57,284.551358979022
"58",58,1145.67461739073
"59",59,2338.16437680396
"60",60,4067.89043233991
"61",61,3704.84495708432
"62",62,8117.13215645024
"63",63,10252.8815246518
"64",64,6955.6757043288
"65",65,3220.17949563568
"66",66,2294.70624907203
"67",67,3105.65593957039
"68",68,8172.29520064625
"69",69,8349.57870532373
"70",70,14135.1516344992
"71",71,6952.56562008278
"72",72,2858.64822200645
"73",73,2578.81260065503
"74",74,4007.52914920828
"75",75,5366.80373372688
"76",76,10410.9427999885
"77",77,7977.74170906658
"78",78,2871.98768707259
"79",79,4600.70561031122
"80",80,4249.88627023653
"81",81,7927.54163966463
"82",82,11507.0559475698
"83",83,13484.3759585418
"84",84,9055.66383509606
"85",85,8299.72507831168
"86",86,2878.81144047652
"87",87,534.469647577314
"88",88,1886.02762712346
"89",89,6173.20445872623
"90",90,9769.33818523636
"91",91,5384.34278387079
"92",92,1964.66881249003
"93",93,1439.17757070075
"94",94,3768.33166413251
"95",95,6004.22881885555
"96",96,8528.90936344375
"97",97,6987.36016324058
"98",98,6925.35541798776
"99",99,1579.24306241817
"100",100,1467.83420201943
"101",101,2231.15265239291
"102",102,4573.98443896041
"103",103,17464.7307923864
"104",104,18734.3956157815
"105",105,5671.48111371891
"106",106,3371.72443236232
"107",107,1741.76900236052
"108",108,2442.58644903806
"109",109,5032.17440935431
"110",110,20440.7468577213
"111",111,9643.81232759505
"112",112,14195.1300546918
"113",113,14381.5862480624
"114",114,19280.7188588036
"115",115,5366.28549134163
"116",116,9792.84333071581
"117",117,7962.5028725005
"118",118,5201.10084908131
"119",119,5344.36638814737
"120",120,7654.78041362151
"121",121,2567.2197079425
"122",122,1239.22190743952
"123",123,1760.89829193082
"124",124,2884.26198091404
"125",125,4910.33007948421
"126",126,5232.86506758585
"127",127,6295.23763443571
"128",128,7674.80520020742
"129",129,3607.39512284211
"130",130,6256.8267000149
"131",131,7135.19665700401
"132",132,10768.0621158168
"133",133,6377.0692595538
"134",134,6733.82027976267
"135",135,11921.8893636016
"136",136,9771.8750717772
"137",137,1771.2420810711
"138",138,621.283629145457
"139",139,833.969688482844
"140",140,3608.69090760934
"141",141,6641.10999446286
"142",142,6376.8205676583
"143",143,8066.29650913583
"144",144,4927.4612173284
"145",145,4656.48820783329
"146",146,7544.16925296051
"147",147,4825.7924515357
"148",148,2675.02992537211
"149",149,3873.55732939509
"150",150,2750.87713189943
"151",151,1032.16679065537
"152",152,1949.63765761261
"153",153,1776.35323278701
"154",154,6278.6864607104
"155",155,6170.16621056089
