"","Element ID","/Layer_4/Subsidence_Outflow (-)(AF/year)"
"1",1,0.0218209766986001
"2",2,0.0271162995974659
"3",3,0.0471224671917405
"4",4,0.0589496289897096
"5",5,0.0327674771415602
"6",6,0.0704674386936696
"7",7,0.0601183550974363
"8",8,0.0489401771725412
"9",9,0.0558082795958521
"10",10,0.0116011757546452
"11",11,0.00662846832250665
"12",12,0.0100494989636415
"13",13,0.0158766110916225
"14",14,0.0230620641119771
"15",15,0.0198619098941737
"16",16,0.0112163745768994
"17",17,0.0278190572000509
"18",18,0.049905192431758
"19",19,0.0387743053087817
"20",20,0.0425554440052258
"21",21,0.030581975478278
"22",22,0.0308741639632529
"23",23,0.0365903645834927
"24",24,0.0205888724178391
"25",25,0.049576357049596
"26",26,0.0504070438637888
"27",27,0.00946588600875602
"28",28,0.00837104979032019
"29",29,0.0120855510117596
"30",30,0.00597390367538556
"31",31,0.00823616739209722
"32",32,0.00942061284691689
"33",33,0.0106799045163182
"34",34,0.0198978315243226
"35",35,0.0227509204004606
"36",36,0.0293010215036063
"37",37,0.0343498139373272
"38",38,0.0251307396138915
"39",39,0.0275341629360394
"40",40,0.0247518731816614
"41",41,0.0285206997424606
"42",42,0.0327649267894336
"43",43,0.0349807570654752
"44",44,0.0376117117091196
"45",45,0.0619896477934008
"46",46,0.0299429177087469
"47",47,0.0593017984294623
"48",48,0.00902153509837283
"49",49,0.00374817457770373
"50",50,0.00696342492652076
"51",51,0.00268573099960688
"52",52,0.00412545456921738
"53",53,0.00629820365243722
"54",54,0.00243345191098813
"55",55,0.00361221426643379
"56",56,0.00884429894494611
"57",57,0.00880005340188375
"58",58,0.0109395154691233
"59",59,0.0151921035142931
"60",60,0.0228537733055038
"61",61,0.0101722912716412
"62",62,0.0224868918450161
"63",63,0.0146951011471197
"64",64,0.0149772206972477
"65",65,0.0126227369460616
"66",66,0.0163518697597959
"67",67,0.0156513474364538
"68",68,0.018257034137339
"69",69,0.0268781608302071
"70",70,0.0274793498511785
"71",71,0.0206724572238225
"72",72,0.0337308106236221
"73",73,0.00780118486827788
"74",74,0.00786689770831957
"75",75,0.00669515879212561
"76",76,0.00317437914365363
"77",77,0.00615070097495402
"78",78,0.00270968564179476
"79",79,0.00604078889509359
"80",80,0.00468624718807349
"81",81,0.00494962593026866
"82",82,0.00492043156602747
"83",83,0.00846007174888989
"84",84,0.00817634557120916
"85",85,0.010341281984789
"86",86,0.0138951724716426
"87",87,0.0125823969288922
"88",88,0.00867089375920766
"89",89,0.00372320391037681
"90",90,0.00835974160923426
"91",91,0.00519534371771443
"92",92,0.0109331793868502
"93",93,0.00421167007555716
"94",94,0.00570240636040043
"95",95,0.00194570063157301
"96",96,0.00571785688723823
"97",97,0.00781404637666201
"98",98,0.0108261697691346
"99",99,0.0178445999101605
"100",100,0.0246433497491249
"101",101,0.019311832072149
"102",102,0.014976756721154
"103",103,0.0134224200608656
"104",104,0.0188928059365425
"105",105,0.0102924805604932
"106",106,0.00327403432164348
"107",107,0.00773045439315746
"108",108,0.00976020329723324
"109",109,0.00661155298305019
"110",110,0.00294765312368534
"111",111,0.00540369007427639
"112",112,0.0056561299489296
"113",113,0.00902520247629064
"114",114,0.0079008914950471
"115",115,0.00615104401017401
"116",116,0.00698159384803689
"117",117,0.0090887757150073
"118",118,0.00712081936031769
"119",119,0.00551314278020442
"120",120,0.00649509505659333
"121",121,0.00603746685536254
"122",122,0.00533541086594989
"123",123,0.00434347401531975
"124",124,0.00643996063589455
"125",125,0.00450717262296836
"126",126,0.00235045729276559
"127",127,0.00165096010354901
"128",128,0.00283634048885869
"129",129,0.00421834337697001
"130",130,0.00204008448418444
"131",131,0.00779517503639347
"132",132,0.00593829485476339
"133",133,0.0146467603719955
"134",134,0.0102984209934307
"135",135,0.00645802619175399
"136",136,0.00937745173991434
"137",137,0.0069921905416906
"138",138,0.00689617449290216
"139",139,0.0057552916169931
"140",140,0.00857315537837647
"141",141,0.00436772579724342
"142",142,0.00671491490122172
"143",143,0.0162821406794935
"144",144,0.00904613207341897
"145",145,0.00785292713339118
"146",146,0.00910182649123285
"147",147,0.00568225884408374
"148",148,0.0090768509177189
"149",149,0.00704109209377191
"150",150,0.00300516253359686
"151",151,0.00728253146900972
"152",152,0.0046028770247413
"153",153,0.00411578627333464
"154",154,0.00549327515381088
"155",155,0.00515133292392146
"156",156,0.00584017119163498
"157",157,0.00582049118401827
"158",158,0.00538129911552342
"159",159,0.00524113701457866
"160",160,0.0056722769111075
"161",161,0.00554114686680814
"162",162,0.00449053655488102
"163",163,0.00314841369270594
"164",164,0.00225671778046582
"165",165,0.00110832037282669
"166",166,0.00233896662047973
"167",167,0.00468018964953365
"168",168,0.00444071331794878
"169",169,0.0016225083344528
"170",170,0.00405900883902556
"171",171,0.00488838498721339
"172",172,0.00619632335520049
"173",173,0.00251793867661766
"174",174,0.00389710893961661
"175",175,0.00291446166243059
"176",176,0.00739483134023172
"177",177,0.00454990136213535
"178",178,0.00497729677162934
"179",179,0.00341496839572231
"180",180,0.00605725859600588
"181",181,0.00764097732254445
"182",182,0.0030171650344628
"183",183,0.00475514055740891
"184",184,0.00920654186810949
"185",185,0.0183241338934412
"186",186,0.0107746088704075
"187",187,0.00758870247430993
"188",188,0.00572719035296312
"189",189,0.00589656924668857
"190",190,0.00455250749665291
"191",191,0.00566982380897095
"192",192,0.00602695132359415
"193",193,0.00837672436446273
"194",194,0.00490749175017777
"195",195,0.00315453837660827
"196",196,0.00624992814364634
"197",197,0.00647304163694536
"198",198,0.00745568484011734
