"","Element ID","/Layer_4/GW Storage_Outflow (-)(AF/year)"
"1",1,0.877972972334729
"2",2,1.41511176857808
"3",3,2.99112597925273
"4",4,4.09873994035791
"5",5,2.36559622795324
"6",6,4.60232460918964
"7",7,3.2087217580338
"8",8,1.79561233660538
"9",9,2.18039162123023
"10",10,0.364692996135117
"11",11,0.207119238302857
"12",12,0.242039571814998
"13",13,0.50790498014896
"14",14,1.03857087963013
"15",15,1.08064610894597
"16",16,0.661709577891619
"17",17,1.61461351873805
"18",18,3.04485287171851
"19",19,1.97554386638789
"20",20,1.59136012608853
"21",21,0.660732791910543
"22",22,0.542215483722716
"23",23,0.752779976542532
"24",24,0.442846842207213
"25",25,1.48548127375679
"26",26,2.14946054399525
"27",27,0.309064874244341
"28",28,0.220338098527542
"29",29,0.274593902834127
"30",30,0.122836840623439
"31",31,0.149732276669281
"32",32,0.169967258652361
"33",33,0.296022414919632
"34",34,0.802835216022352
"35",35,1.14642457364097
"36",36,1.51383437301838
"37",37,1.44474735164749
"38",38,0.819002699889465
"39",39,0.794004002422218
"40",40,0.370847172755609
"41",41,0.189331173662821
"42",42,0.250082724308398
"43",43,0.461025718865777
"44",44,0.819443871896247
"45",45,1.85958459536084
"46",46,1.17394084799395
"47",47,2.50424892723715
"48",48,0.294632665813524
"49",49,0.109221825691826
"50",50,0.191924332374833
"51",51,0.0661423028667641
"52",52,0.0890439115040014
"53",53,0.116149653820958
"54",54,0.0421510557288016
"55",55,0.0613713877724233
"56",56,0.169864098641481
"57",57,0.196599993716776
"58",58,0.343595028787272
"59",59,0.601127096078165
"60",60,0.931116338104536
"61",61,0.463147085926696
"62",62,0.846316257440071
"63",63,0.542262920995127
"64",64,0.432942829207499
"65",65,0.272257977667214
"66",66,0.223717795302673
"67",67,0.0669257066230062
"68",68,0.0588672733473098
"69",69,0.239660784928552
"70",70,0.421297900097377
"71",71,0.437893181078293
"72",72,0.681974213374155
"73",73,0.243977275414694
"74",74,0.230381713223142
"75",75,0.173489727651311
"76",76,0.0803636422373741
"77",77,0.136792203677902
"78",78,0.0542004444529126
"79",79,0.121832337681417
"80",80,0.089449892557576
"81",81,0.103074831480543
"82",82,0.105197739706809
"83",83,0.201532063100653
"84",84,0.226257215171126
"85",85,0.35956020426108
"86",86,0.542597541882451
"87",87,0.492302487840134
"88",88,0.352208866254183
"89",89,0.15140690572954
"90",90,0.319386765573063
"91",91,0.187383529251628
"92",92,0.342753155585543
"93",93,0.1099844853458
"94",94,0.149377942813409
"95",95,0.0419419732051404
"96",96,0.0961752304884594
"97",97,0.0835545682067572
"98",98,0.0420015632145786
"99",99,0.0439982302994544
"100",100,0.171801628681368
"101",101,0.243181240020442
"102",102,0.178485607949703
"103",103,0.239976693394018
"104",104,0.401039915725216
"105",105,0.302816985288671
"106",106,0.0918716563641376
"107",107,0.200143425735838
"108",108,0.229449857485337
"109",109,0.149229812883203
"110",110,0.0659931212371747
"111",111,0.126805263233235
"112",112,0.129135407894335
"113",113,0.22660683768977
"114",114,0.211623201155397
"115",115,0.184950161940237
"116",116,0.229102668563531
"117",117,0.341305097805654
"118",118,0.279636449881519
"119",119,0.223292017972259
"120",120,0.281166412890874
"121",121,0.262766386474301
"122",122,0.22490434889848
"123",123,0.170826508140604
"124",124,0.221545933636363
"125",125,0.143683173109373
"126",126,0.0735119932560435
"127",127,0.0443169002161238
"128",128,0.0609661418266769
"129",129,0.0646611562243033
"130",130,0.0225729299986403
"131",131,0.0528888669426475
"132",132,0.0201678367824662
"133",133,0.11272801309266
"134",134,0.0807802757073922
"135",135,0.0841752857820678
"136",136,0.129514347617968
"137",137,0.124226830913006
"138",138,0.154872767121305
"139",139,0.127740411531236
"140",140,0.212759555692736
"141",141,0.108030035853552
"142",142,0.184877628905156
"143",143,0.497403442930522
"144",144,0.258270863073981
"145",145,0.211988026364637
"146",146,0.22805002197555
"147",147,0.144445695295671
"148",148,0.243608195831719
"149",149,0.201470060616532
"150",150,0.090951612743589
"151",151,0.233661144795575
"152",152,0.160527737514005
"153",153,0.148416953049327
"154",154,0.191846512706008
"155",155,0.197947905179986
"156",156,0.247609355748389
"157",157,0.266300254329969
"158",158,0.253512322908117
"159",159,0.24645389059476
"160",160,0.259248528323094
"161",161,0.252813817953115
"162",162,0.179736888681034
"163",163,0.115929680717023
"164",164,0.0779489989879196
"165",165,0.0356916300713554
"166",166,0.068419309920817
"167",167,0.124392147115014
"168",168,0.0927702417502632
"169",169,0.0259510333307421
"170",170,0.0473278628917528
"171",171,0.0565545563879461
"172",172,0.100370300127238
"173",173,0.0491791634551152
"174",174,0.071669360095334
"175",175,0.0515781537178692
"176",176,0.152556207102983
"177",177,0.109305075336032
"178",178,0.133939082196267
"179",179,0.0870418908654071
"180",180,0.164660960815359
"181",181,0.220344845255696
"182",182,0.0820936418789957
"183",183,0.146706585746973
"184",184,0.278736125273658
"185",185,0.567683200316941
"186",186,0.323621500173478
"187",187,0.229053507834096
"188",188,0.163935496995167
"189",189,0.160074758702314
"190",190,0.128967281338801
"191",191,0.162313221961601
"192",192,0.183606052566135
"193",193,0.263922471890782
"194",194,0.163234469015599
"195",195,0.104810163213969
"196",196,0.219246144390636
"197",197,0.241702954845811
"198",198,0.297694926658478
"199",199,0.289621482395672
"200",200,0.285902165207013
"201",201,0.28574707200828
"202",202,0.351635679544008
"203",203,0.341570079876623
"204",204,0.302023799525378
"205",205,0.22416093525222
"206",206,0.1798595195446
"207",207,0.147635288065316
"208",208,0.0968050390478808
"209",209,0.0745759959221383
