"","Element ID","/Layer_2/GW Storage_Inflow (+)(AF/year)"
"1",1,0.558825650031014
"2",2,0.983831547933156
"3",3,2.19529902374679
"4",4,3.22983149880272
"5",5,2.26444136073504
"6",6,3.44130605982003
"7",7,1.96789019364085
"8",8,1.43222446815186
"9",9,2.55998378778301
"10",10,12.3453261034464
"11",11,0.105525895198754
"12",12,0.183333329870854
"13",13,0.417015832609054
"14",14,0.724524858653491
"15",15,0.548889407335036
"16",16,0.340876582533942
"17",17,0.638577016192158
"18",18,1.16350141690718
"19",19,0.767700777532529
"20",20,1.17383768337341
"21",21,0.870169020287629
"22",22,0.723954430865946
"23",23,1.62197187902434
"24",24,1.03017307673866
"25",25,2.38259970850102
"26",26,3.95105980125251
"27",27,8.77092617745824
"28",28,0.0541835213767295
"29",29,0.161530537332135
"30",30,0.110409945633954
"31",31,0.184654505228727
"32",32,0.242133529720337
"33",33,0.286026025269838
"34",34,0.543893257289511
"35",35,0.553214000498163
"36",36,0.619655783394237
"37",37,1.02800424626722
"38",38,1.10750836134353
"39",39,1.52397503848085
"40",40,1.0420130520483
"41",41,0.924985513992777
"42",42,1.04754642189624
"43",43,1.07301241096282
"44",44,1.16485983472762
"45",45,2.03035650231014
"46",46,1.27001103131209
"47",47,4.05334549191756
"48",48,0.036845340912648
"49",49,0.015025135948416
"50",50,13.1167847686814
"51",51,0.0234649873027345
"52",52,0.0627150774922042
"53",53,0.141986464362628
"54",54,0.0665741601797442
"55",55,0.103006609311912
"56",56,0.284642577425607
"57",57,0.265741028433782
"58",58,0.328282593701264
"59",59,0.504683347398365
"60",60,1.01881032163542
"61",61,0.312758785896599
"62",62,1.25699030204182
"63",63,0.893245444601529
"64",64,0.959101342914528
"65",65,0.982256788092484
"66",66,0.962274069982396
"67",67,0.702892787355171
"68",68,0.705970034530627
"69",69,0.83868717446322
"70",70,0.712378398197993
"71",71,0.495575915785891
"72",72,0.573492924901644
"73",73,21.2945064426669
"74",74,37.3527294768603
"75",75,21.1597717871555
"76",76,10.4558780576543
"77",77,0.0910640206118611
"78",78,0.0546060679342477
"79",79,0.144621828715791
"80",80,0.140923839512196
"81",81,0.153224710546467
"82",82,0.168015802897904
"83",83,0.276405723912047
"84",84,0.280779528279791
"85",85,0.424857751491284
"86",86,0.683865061530579
"87",87,0.834417430157323
"88",88,0.765263041957745
"89",89,0.356597056367293
"90",90,0.782023681467925
"91",91,0.385563862535782
"92",92,0.879058858601436
"93",93,0.391538010357531
"94",94,0.729169931814018
"95",95,0.235201551823191
"96",96,0.557401479867582
"97",97,0.572022192020277
"98",98,0.604525162721053
"99",99,0.820795023868518
"100",100,0.761141433150956
"101",101,0.328736620796228
"102",102,0.292398170151155
"103",103,0.176812790618243
"104",104,0.236205484800625
"105",105,0.0931062967781706
"106",106,0.0299440609138323
"107",107,0.102199592484835
"108",108,0.232952156526959
"109",109,0.119564423269871
"110",110,0.0880208695063028
"111",111,0.17502396937306
"112",112,0.183676728047523
"113",113,0.308969068675988
"114",114,0.280458592277799
"115",115,0.245174006709177
"116",116,0.298576132292881
"117",117,0.550989865964255
"118",118,0.532825970272715
"119",119,0.517163513591383
"120",120,0.721345601867107
"121",121,0.721292021858465
"122",122,0.664523599888331
"123",123,0.574841719252032
"124",124,0.680863827791541
"125",125,0.640604544958457
"126",126,0.385254826037887
"127",127,0.239260463399552
"128",128,0.341985680628445
"129",129,0.437626180729398
"130",130,0.182917575545729
"131",131,0.563617156141464
"132",132,0.324420322240763
"133",133,0.768683650085958
"134",134,0.337067064487413
"135",135,0.356964625647229
"136",136,0.331411095312408
"137",137,0.169762043050582
"138",138,0.219868170829418
"139",139,0.110588149803598
"140",140,0.224007336052917
"141",141,0.0781161005910695
"142",142,0.23917874027913
"143",143,0.144682412556543
"144",144,0.142256912458213
"145",145,0.121803386876844
"146",146,0.237956050067106
"147",147,0.187555237229577
"148",148,0.344473894437453
"149",149,0.298689270617541
"150",150,0.139021429140537
"151",151,0.461623899834539
"152",152,0.342707601097711
"153",153,0.287206346278592
"154",154,0.291735270390885
"155",155,0.508300552800915
"156",156,0.687305180821653
"157",157,0.752305773590802
"158",158,0.762593944894251
"159",159,0.724293861569985
"160",160,0.709644064174668
"161",161,0.636550280018732
"162",162,0.771728321464902
"163",163,0.516823417701536
"164",164,0.399750807407494
"165",165,0.172719215637035
"166",166,0.33647044145131
"167",167,0.509610251954382
"168",168,0.4549878348857
"169",169,0.154329080231199
"170",170,0.33894652031451
"171",171,0.347383187205507
"172",172,0.480355592325579
"173",173,0.160722942105922
"174",174,0.232819534533217
"175",175,0.14787829684951
"176",176,0.347437437295072
"177",177,0.207118646529775
"178",178,0.212369264881899
"179",179,0.143172676760737
"180",180,0.25851603410304
"181",181,0.312610466789737
"182",182,0.11539613493659
"183",183,0.152962158489162
"184",184,0.333542612066937
"185",185,0.143510412295246
"186",186,0.13789055759985
"187",187,0.185868864855205
"188",188,0.1486279284327
"189",189,0.180927365087485
"190",190,0.167328252298708
"191",191,0.253016955841724
"192",192,0.342220599249098
"193",193,0.513879764603445
"194",194,0.39157967270584
"195",195,0.250598939504026
"196",196,0.560802213386563
"197",197,0.6834303710759
"198",198,0.856452825837485
"199",199,0.829753729530454
"200",200,0.817269089136551
"201",201,0.766267106395249
"202",202,0.737483524713416
"203",203,0.620024465801794
"204",204,0.48797807301829
"205",205,0.356993063381314
"206",206,0.416430517602283
"207",207,0.514932517157963
"208",208,0.373018816520532
"209",209,0.364918488871709
"210",210,0.467500212619376
"211",211,0.534464084724732
