"","Element ID","/Layer_1/Diversion Recoverable Loss_Inflow (+)(AF/year)"
"1",1,14.297230201655
"2",2,6.58452961672474
"3",3,6.58452961672474
"4",4,6.58452961672474
"5",5,6.58452961672474
"6",6,6.58452961672474
"7",7,6.58452961672474
"8",8,6.58452961672474
"9",9,0
"10",10,15.9688422203851
"11",11,15.9688422203851
"12",12,1.67161201873006
"13",13,8.2561416354548
"14",14,6.58452961672474
"15",15,6.58452961672474
"16",16,6.58452961672474
"17",17,6.58452961672474
"18",18,6.58452961672474
"19",19,6.58452961672474
"20",20,6.58452961672474
"21",21,6.58452961672474
"22",22,6.58452961672474
"23",23,0
"24",24,0
"25",25,0
"26",26,0
"27",27,1.67161201873006
"28",28,1.67161201873006
"29",29,1.67161201873006
"30",30,1.67161201873006
"31",31,1.67161201873006
"32",32,1.67161201873006
"33",33,8.2561416354548
"34",34,6.58452961672474
"35",35,6.58452961672474
"36",36,6.58452961672474
"37",37,6.58452961672474
"38",38,6.58452961672474
"39",39,6.58452961672474
"40",40,6.58452961672474
"41",41,6.58452961672474
"42",42,0
"43",43,0
"44",44,0
"45",45,0
"46",46,0
"47",47,0
"48",48,1.67161201873006
"49",49,1.67161201873006
"50",50,4.33347517034581
"51",51,4.33347517034581
"52",52,4.33347517034581
"53",53,2.66186315161575
"54",54,4.33347517034581
"55",55,1.67161201873006
"56",56,1.67161201873006
"57",57,1.67161201873006
"58",58,1.67161201873006
"59",59,18.0900290250118
"60",60,6.58452961672474
"61",61,6.58452961672474
"62",62,6.58452961672474
"63",63,16.4184170062818
"64",64,6.58452961672474
"65",65,6.58452961672474
"66",66,6.58452961672474
"67",67,6.58452961672474
"68",68,0
"69",69,0
"70",70,0
"71",71,0
"72",72,0
"73",73,4.33347517034581
"74",74,2.66186315161575
"75",75,2.66186315161575
"76",76,2.66186315161575
"77",77,2.66186315161575
"78",78,2.66186315161575
"79",79,2.66186315161575
"80",80,4.33347517034581
"81",81,4.33347517034581
"82",82,1.67161201873006
"83",83,1.67161201873006
"84",84,1.67161201873006
"85",85,1.67161201873006
"86",86,18.0900290250118
"87",87,18.0900290250118
"88",88,1.67161201873006
"89",89,1.67161201873006
"90",90,1.67161201873006
"91",91,0
"92",92,0
"93",93,6.58452961672474
"94",94,13.0239181965621
"95",95,13.0239181965621
"96",96,13.0239181965621
"97",97,6.58452961672474
"98",98,6.58452961672474
"99",99,0
"100",100,0
"101",101,0
"102",102,0
"103",103,13.0239181965621
"104",104,0
"105",105,9.40122202498747
"106",106,2.66186315161575
"107",107,2.66186315161575
"108",108,2.66186315161575
"109",109,2.66186315161575
"110",110,4.33347517034581
"111",111,1.67161201873006
"112",112,1.67161201873006
"113",113,1.67161201873006
"114",114,1.67161201873006
"115",115,1.67161201873006
"116",116,1.67161201873006
"117",117,1.67161201873006
"118",118,1.67161201873006
"119",119,1.67161201873006
"120",120,1.67161201873006
"121",121,1.67161201873006
"122",122,1.67161201873006
"123",123,0
"124",124,0
"125",125,0
"126",126,13.0239181965621
"127",127,13.0239181965621
"128",128,13.0239181965621
"129",129,13.0239181965621
"130",130,13.0239181965621
"131",131,19.6084478132868
"132",132,0
"133",133,13.0239181965621
"134",134,0
"135",135,13.0239181965621
"136",136,0
"137",137,0
"138",138,13.0239181965621
"139",139,0
"140",140,0
"141",141,0
"142",142,0
"143",143,9.40122202498747
"144",144,2.66186315161575
"145",145,2.66186315161575
"146",146,2.66186315161575
"147",147,4.33347517034581
"148",148,1.67161201873006
"149",149,1.67161201873006
"150",150,1.67161201873006
"151",151,1.67161201873006
"152",152,1.67161201873006
"153",153,1.67161201873006
"154",154,1.67161201873006
"155",155,1.67161201873006
"156",156,1.67161201873006
"157",157,1.67161201873006
"158",158,1.67161201873006
"159",159,1.67161201873006
"160",160,0
"161",161,0
"162",162,13.0239181965621
"163",163,13.0239181965621
"164",164,13.0239181965621
"165",165,13.0239181965621
"166",166,13.0239181965621
"167",167,0
"168",168,0
"169",169,13.0239181965621
"170",170,13.0239181965621
"171",171,13.0239181965621
"172",172,13.0239181965621
"173",173,13.0239181965621
"174",174,13.0239181965621
"175",175,13.0239181965621
"176",176,13.0239181965621
"177",177,13.0239181965621
"178",178,0
"179",179,13.0239181965621
"180",180,13.0239181965621
"181",181,0
"182",182,0
"183",183,0
"184",184,0
"185",185,9.40122202498747
"186",186,2.66186315161575
"187",187,2.66186315161575
"188",188,2.66186315161575
"189",189,4.33347517034581
"190",190,4.33347517034581
"191",191,1.67161201873006
"192",192,1.67161201873006
"193",193,4.33347517034581
"194",194,4.33347517034581
"195",195,1.67161201873006
"196",196,1.67161201873006
"197",197,145.588806235062
"198",198,145.588806235062
"199",199,145.588806235062
"200",200,1.67161201873006
"201",201,1.67161201873006
"202",202,1.67161201873006
"203",203,1.67161201873006
"204",204,0
"205",205,0
"206",206,0
"207",207,13.0239181965621
"208",208,13.0239181965621
"209",209,13.0239181965621
"210",210,13.0239181965621
"211",211,0
"212",212,0
"213",213,0
"214",214,0
"215",215,0
"216",216,13.0239181965621
"217",217,0
"218",218,0
"219",219,0
"220",220,0
"221",221,0
"222",222,0
"223",223,0
"224",224,0
"225",225,0
"226",226,0
"227",227,2.66186315161575
"228",228,2.66186315161575
"229",229,2.66186315161575
"230",230,2.66186315161575
"231",231,4.33347517034581
"232",232,2.66186315161575
"233",233,2.66186315161575
"234",234,145.588806235062
"235",235,1.67161201873006
"236",236,0
"237",237,145.588806235062
"238",238,145.588806235062
"239",239,0
"240",240,145.588806235062
"241",241,147.260418253792
