"","V1"
"1",197.239919858645
"2",213.327779707342
"3",179.129531148142
"4",0
"5",644.716170937415
"6",215.460310689235
"7",346.061380966254
"8",1207.43737348771
"9",202.185296648412
"10",12.0574584756383
"11",701.9066704148
"12",1658.25265201872
"13",1455.87831366697
"14",826.512487357659
"15",623.887821629794
"16",39.6329909194832
"17",46.0716546072896
"18",237.16620107857
"19",2944.08607821498
"20",1394.99614469382
"21",226.533657914365
"22",0
"23",0
"24",0
"25",169.911839855417
"26",2531.87316812921
"27",1484.70611780109
"28",137.251783868707
"29",314.490316597626
"30",0
"31",0
"32",2.57529220820843
"33",61.1326833061433
"34",113.677327997131
"35",1678.42202360315
"36",486.636366129175
"37",0
"38",0
"39",0
"40",0
"41",0
"42",7.98765000019641
"43",263.423089900075
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",4.47107335531661
"52",234.61391648361
"53",0
"54",0
"55",0
"56",0
"57",0
"58",127.986954591743
"59",0
"60",0
"61",0
"62",1021.55215778729
"63",2651.95481592015
"64",5153.76197500921
"65",0
"66",0
"67",0
"68",2600.08251794385
"69",7470.72187205095
"70",20270.2297429027
"71",7746.55901018755
"72",0
"73",0
"74",357.490081770958
"75",5860.63233280953
"76",6304.59526513575
"77",125.885655030424
"78",424.51455580219
"79",0
"80",531.871430090302
"81",320.727621978408
"82",9598.58693473783
"83",14588.9940195124
"84",1513.26450210829
"85",3.69890382205799
"86",0
"87",100.214372717366
"88",2295.77418400527
"89",7542.63558183213
"90",6037.70009749647
"91",1159.7805543116
"92",64.8570893109234
"93",359.444067670048
"94",3151.73968321641
"95",14528.4764742414
"96",8468.57854923492
"97",2082.99269257925
"98",526.277670544303
"99",5.52615193152628
"100",0
"101",6482.06432644879
"102",4232.08759675305
"103",13273.4764387961
"104",24616.2981120481
"105",1777.99023362146
"106",112.399663399757
"107",1.90468067126116
"108",3451.15062124381
"109",3541.94044916353
"110",4213.26247075664
"111",15175.8028955883
"112",16101.4024569788
"113",16308.9463452791
"114",26934.4652668732
"115",313.694107311085
"116",16123.9443289527
"117",16684.9365037607
"118",7198.81814294987
"119",6116.3151415457
"120",5351.11997239424
"121",0
"122",64.3492067329643
"123",2361.13394006799
"124",4800.16469925288
"125",16288.6298142483
"126",8013.35838957557
"127",10952.3116487187
"128",18730.8064905149
"129",10586.267948769
"130",3714.10688469084
"131",10302.6157647361
"132",17149.4438488097
"133",3706.09411280712
"134",11541.3582516484
"135",22516.3140767735
"136",12557.2307771606
"137",0
"138",0
"139",559.794669692456
"140",9914.24501242466
"141",29395.719103973
"142",7295.85074827944
"143",26850.4207969699
"144",766.685877077287
"145",9887.39713774914
"146",4624.79167203069
"147",247.054051240839
"148",5615.03012701957
"149",271.240294606638
"150",2987.64075896689
"151",379.911740115949
"152",322.376967801355
"153",6608.64526131022
"154",356.624098178151
"155",223.850047119628
"156",4523.08916013099
"157",990.271130708597
"158",2151.73522982434
"159",3061.08406043708
"160",2278.4734186113
"161",2583.64448538931
"162",2727.63208823128
"163",1035.43745868764
"164",666.461020400432
"165",3585.12264625718
"166",0
"167",1480.61418521968
"168",13520.9737586675
"169",25288.5000388381
"170",746.02785585117
"171",1636.09362644225
"172",2084.76281278381
"173",11341.4327210338
"174",2356.26916492119
"175",2365.79457041139
"176",2591.10610471471
"177",2136.39467822317
"178",33356.3494446118
"179",10669.8329054578
"180",0.183623839425306
"181",997.442796064918
"182",9772.63823599019
"183",9021.44391615358
"184",1076.11324257915
"185",1297.81261729011
"186",1725.33329764964
"187",2035.67826376548
"188",31619.9411370337
"189",749.543664661817
"190",554.897373865543
"191",1910.89919300825
"192",2432.89039126728
"193",2812.32822204275
"194",2737.67293914217
"195",17166.9914872399
"196",5337.40850430415
"197",4217.14136880866
"198",838.141162001665
"199",1075.41708434987
"200",8082.51681895911
"201",2231.2381495593
"202",2674.48539546709
"203",859.44419656599
"204",1070.09307917293
"205",10256.1220042261
"206",1260.73673145264
"207",21827.1545673916
"208",1951.67774534217
"209",576.286929927837
"210",1899.35677579627
"211",824.079438617981
"212",700.780191518203
"213",2489.10622369543
"214",1132.48246952363
"215",1125.08968309551
"216",7391.72655396978
"217",1287.65405851621
"218",665.174749899447
"219",910.187651548031
"220",914.814939342243
"221",2345.89608923623
"222",1119.2220730041
"223",1249.56319600832
"224",23779.1876288108
"225",1932.68522850549
"226",1965.65411345238
"227",825.079729311774
"228",24407.30853752
"229",1704.79996403488
"230",2898.72925909245
"231",7304.10191517164
"232",6672.18109088211
"233",7301.00696460614
"234",1674.9200612461
"235",1130.32643599007
"236",676.321454465653
"237",1084.26842046938
"238",2103.33248951552
"239",535.038857647897
"240",558.186324187791
"241",10148.5903210419
"242",980.939730534253
"243",1579.22121809812
"244",706.037803173304
"245",1311.53747083078
"246",3724.51684482257
"247",713.036004320243
"248",3694.27872895784
"249",1878.87513796309
"250",15019.3236298162
"251",13875.2681715473
"252",11934.1003849597
"253",3409.46470736406
"254",461.411358408739
"255",2028.95739428062
"256",2548.37300815591
"257",917.396258628109
"258",615.836436194169
"259",1348.64875112092
"260",1165.96968060908
"261",0
"262",15352.9128770019
"263",22981.0056411082
"264",366.833948257298
"265",692.197667415604
"266",1852.13685625024
"267",5346.62650244589
"268",1957.36585380048
"269",1363.75852260713
"270",876.721657424676
"271",351.297641130796
"272",6586.33245625944
"273",0
"274",10502.1776448117
"275",25416.8008692141
"276",432.656656510834
"277",2121.44666716513
"278",243.962113662648
"279",2059.99840504861
"280",488.392251754726
"281",13918.5129984789
"282",19474.7294642268
"283",9717.10006135623
"284",0
"285",4961.15933400384
"286",13483.4678260203
"287",16722.6868320662
"288",3819.89768967086
"289",4129.31495440552
"290",2136.47415353949
"291",1417.35029192293
"292",521.564555128709
"293",2384.4931461171
"294",10628.4224440348
"295",17938.1075963698
"296",12800.6032677254
"297",56.9737743150596
"298",1045.25360345751
"299",15515.6375810709
"300",11348.2562752114
"301",3272.92919450173
"302",15626.9086047551
"303",14514.3966396952
"304",3141.36650547891
"305",9225.73004222918
"306",7426.52554095315
"307",17278.6410921907
"308",1944.22463236571
"309",413.353281575799
