"","Element ID","/Layer_1/Subsidence_Inflow (+)(AF/year)"
"1",1,0.941526517476865
"2",2,1.50046464644908
"3",3,3.26830237860581
"4",4,4.40555620331228
"5",5,5.20007428270843
"6",6,10.7614838516173
"7",7,4.83317789827159
"8",8,2.0727890483999
"9",9,1.22636627690333
"10",10,0.0562754519984472
"11",11,0.15761580359334
"12",12,0.23087558085714
"13",13,0.947514813563759
"14",14,1.64295377912521
"15",15,1.25012866576511
"16",16,0.645421742016201
"17",17,2.07574859718449
"18",18,4.48167623430432
"19",19,3.72351506512059
"20",20,2.91898203933261
"21",21,1.49330467714407
"22",22,0.761282583372199
"23",23,1.01386384320412
"24",24,0.731682521894712
"25",25,0.821214273277187
"26",26,0.667320521706165
"27",27,0.0593239307961784
"28",28,0.03822714873112
"29",29,0.035024116884611
"30",30,0.0274137856854977
"31",31,0.0456752922210705
"32",32,0.0755438422268339
"33",33,0.360869160559587
"34",34,1.16403208079371
"35",35,1.5931601914175
"36",36,2.43062766563981
"37",37,2.51705967446477
"38",38,1.59402397195989
"39",39,1.61888992271433
"40",40,1.06669920826918
"41",41,0.82525040685551
"42",42,1.32252160973829
"43",43,1.36477340194402
"44",44,0.526818257611982
"45",45,0.168667014969626
"46",46,0.0545952470380561
"47",47,0.192077109717059
"48",48,0.0587499129423479
"49",49,0.0212300332842986
"50",50,0.0261747277130743
"51",51,0.00995343268816789
"52",52,0.0129670900362519
"53",53,0.0136696177605119
"54",54,0.00349822869585804
"55",55,0.00830088424083977
"56",56,0.0231060419000924
"57",57,0.101025953528376
"58",58,0.383053305427989
"59",59,0.82762564612961
"60",60,1.43486785776595
"61",61,0.686578856926197
"62",62,1.31930613938806
"63",63,0.866219141503206
"64",64,0.905993856270112
"65",65,0.781562829412239
"66",66,0.693783051328635
"67",67,0.590852034163177
"68",68,0.909860808592585
"69",69,1.06203925469557
"70",70,0.444898463408551
"71",71,0.0990747658254028
"72",72,0.153988893140127
"73",73,0.0238615363132082
"74",74,0.00553530289814474
"75",75,0.0102934865871683
"76",76,0.00743216001194434
"77",77,0.0208359415395704
"78",78,0.00706621147587975
"79",79,0.0104846567829718
"80",80,0.00673489710453026
"81",81,0.00794488348651091
"82",82,0.00994157181340151
"83",83,0.0170343477804204
"84",84,0.10189274700216
"85",85,0.388589734520261
"86",86,0.74502511914857
"87",87,0.692801118598215
"88",88,0.396832899686098
"89",89,0.190638292557319
"90",90,0.562351193410476
"91",91,0.339322430355931
"92",92,0.808707999619372
"93",93,0.327056532648521
"94",94,0.36884871027927
"95",95,0.0979592006207605
"96",96,0.245804829517836
"97",97,0.263071581605472
"98",98,0.368176371694532
"99",99,0.796930906411107
"100",100,0.978739412156128
"101",101,0.350112253234277
"102",102,0.419757704854163
"103",103,0.216229538895994
"104",104,0.153837818510203
"105",105,0.0444473433370691
"106",106,0.00741384546388137
"107",107,0.0202574519578497
"108",108,0.0180071568220028
"109",109,0.01632655192897
"110",110,0.00454979550715282
"111",111,0.00868048048370157
"112",112,0.00917931939186883
"113",113,0.0146205334857815
"114",114,0.0129843090089551
"115",115,0.0198335770819896
"116",116,0.109056306371239
"117",117,0.3616727866945
"118",118,0.226029002841221
"119",119,0.0634771099440276
"120",120,0.13946118579399
"121",121,0.215499998923414
"122",122,0.306862210448635
"123",123,0.405884709824196
"124",124,0.581242392564214
"125",125,0.359031805378829
"126",126,0.148596190489535
"127",127,0.106587816910501
"128",128,0.171020444826712
"129",129,0.152163289848673
"130",130,0.0640223583418831
"131",131,0.265284087353455
"132",132,0.22205225191699
"133",133,0.547071068354894
"134",134,0.407374118665169
"135",135,0.202247979625665
"136",136,0.287795056802323
"137",137,0.166732170214094
"138",138,0.10158952730236
"139",139,0.0811184246527953
"140",140,0.0839152152918679
"141",141,0.0522571935763091
"142",142,0.0422638574785757
"143",143,0.271697748821807
"144",144,0.037873895385728
"145",145,0.0265681210031932
"146",146,0.0130494420058793
"147",147,0.00913771482374067
"148",148,0.0167708773040509
"149",149,0.0133291966787762
"150",150,0.0062530922130718
"151",151,0.0169851827584833
"152",152,0.0105030812535728
"153",153,0.0224187906355452
"154",154,0.0726305055868882
"155",155,0.0160886011838199
"156",156,0.0215039774323048
"157",157,0.0366130884048227
"158",158,0.0739340593219245
"159",159,0.144653813101806
"160",160,0.313136133870045
"161",161,0.366091771667249
"162",162,0.313107094654832
"163",163,0.287921834695745
"164",164,0.164591003304795
"165",165,0.091964140662506
"166",166,0.191988379352355
"167",167,0.424163297907196
"168",168,0.344345168239336
"169",169,0.0874357756349413
"170",170,0.153003263485479
"171",171,0.152482916948939
"172",172,0.287482769810192
"173",173,0.123822566581462
"174",174,0.132184828023288
"175",175,0.0788554071442099
"176",176,0.178756230727635
"177",177,0.0769869366618526
"178",178,0.0566776533135583
"179",179,0.0348937159080548
"180",180,0.041147735843946
"181",181,0.0324384044460058
"182",182,0.0134470912832329
"183",183,0.0407485899094927
"184",184,0.0803074483735817
"185",185,0.30679601079776
"186",186,0.061453366916923
"187",187,0.0144302307893981
"188",188,0.00982657373203796
"189",189,0.00971696633681385
"190",190,0.00962868728551592
"191",191,0.0140422452915525
"192",192,0.0150798693572953
"193",193,0.0218221806590176
"194",194,0.0125724071679639
"195",195,0.00809851808417682
"196",196,0.014322426813051
"197",197,0.0139974026159774
"198",198,0.0190236526881075
"199",199,0.0204216666518408
"200",200,0.0201170829020044
"201",201,0.0194661994046546
"202",202,0.0370262061433119
"203",203,0.103257468240913
"204",204,0.175568167718996
"205",205,0.159861572403705
"206",206,0.206516613976036
