"","Element ID","GW pumping (AF/year)"
"1",1,289.834905285061
"2",2,257.218258867611
"3",3,2710.11557416171
"4",4,2258.30693655757
"5",5,705.631764904559
"6",6,1340.71901276566
"7",7,1301.83173444356
"8",8,1508.31036530397
"9",9,1585.88931021024
"10",10,91.620222235919
"11",11,72.7973093859737
"12",12,56.9969309775674
"13",13,182.723836622636
"14",14,151.379475082709
"15",15,1059.37716528758
"16",16,657.190591561452
"17",17,1163.46210213041
"18",18,1145.04588043247
"19",19,733.304695690584
"20",20,865.309116088331
"21",21,937.633948692346
"22",22,973.553809099068
"23",23,979.470338716751
"24",24,529.487720247281
"25",25,1406.82566198394
"26",26,803.402370564991
"27",27,114.54135718288
"28",28,130.867366012973
"29",29,185.008638577567
"30",30,47.7796270453697
"31",31,79.6087908948416
"32",32,63.7764938464921
"33",33,174.821317341966
"34",34,211.566018312416
"35",35,1401.7425273353
"36",36,622.708115514306
"37",37,748.482596864358
"38",38,540.403286222195
"39",39,847.378531738636
"40",40,775.457751130211
"41",41,810.300534760315
"42",42,952.01998658689
"43",43,1091.86669331805
"44",44,1008.35093891988
"45",45,1729.73166370711
"46",46,897.912919860941
"47",47,1796.4545800275
"48",48,157.145250502293
"49",49,49.0387240081327
"50",50,61.3593242053848
"51",51,24.5380830572361
"52",52,53.408708914745
"53",53,151.997961486686
"54",54,31.0552155198518
"55",55,101.88867591534
"56",56,115.078843954052
"57",57,84.8255115386208
"58",58,226.76656659232
"59",59,235.825490793308
"60",60,893.164585049881
"61",61,262.856312287389
"62",62,1068.80089660561
"63",63,883.650484345906
"64",64,505.75798776645
"65",65,570.161628183929
"66",66,469.743149273709
"67",67,497.129265618348
"68",68,496.899391116129
"69",69,686.637279856803
"70",70,717.676474032526
"71",71,511.361442627317
"72",72,999.430236919529
"73",73,54.2323801887458
"74",74,74.6342972137687
"75",75,65.5634724898739
"76",76,22.2703250178807
"77",77,94.3994395517603
"78",78,42.9580283186928
"79",79,103.383200142903
"80",80,137.151647043576
"81",81,66.4878924498448
"82",82,54.4700211597211
"83",83,82.5457355177722
"84",84,158.507547247605
"85",85,242.301735943163
"86",86,228.04796233705
"87",87,297.987088276552
"88",88,365.999740635248
"89",89,220.603071771973
"90",90,358.696112791612
"91",91,184.162942012101
"92",92,501.199568639706
"93",93,190.38634340803
"94",94,289.206016500346
"95",95,153.038503536563
"96",96,295.768967459429
"97",97,315.470039797769
"98",98,329.847989098558
"99",99,512.336499066031
"100",100,738.462430344282
"101",101,401.508059793736
"102",102,368.391608274024
"103",103,496.937031818029
"104",104,578.79325705512
"105",105,221.034126130838
"106",106,42.5594830878238
"107",107,123.477634749711
"108",108,140.066520425044
"109",109,112.98590561555
"110",110,102.645595827201
"111",111,164.261852508352
"112",112,87.4956304954951
"113",113,146.775972197544
"114",114,80.7392477817011
"115",115,190.433496085353
"116",116,161.061439630293
"117",117,148.193947704455
"118",118,117.6392203861
"119",119,87.9045041419507
"120",120,101.130913233698
"121",121,537.674803615415
"122",122,305.092436118973
"123",123,273.838406911771
"124",124,352.439177672928
"125",125,204.659662437317
"126",126,242.230050613408
"127",127,87.8968735977939
"128",128,42.4483899028041
"129",129,75.2303314401096
"130",130,93.526655378856
"131",131,590.753086480753
"132",132,150.823428599134
"133",133,684.433678480421
"134",134,471.541023780631
"135",135,235.277195859789
"136",136,169.654257946582
"137",137,167.821497881613
"138",138,190.390365544746
"139",139,154.432083425202
"140",140,234.854409888749
"141",141,89.0628511308012
"142",142,178.757508406051
"143",143,282.894016915492
"144",144,164.824390301215
"145",145,184.986723448412
"146",146,109.441859584709
"147",147,74.5133559642995
"148",148,342.749236855501
"149",149,79.2081320710431
"150",150,32.4835394690241
"151",151,51.1829601743792
"152",152,123.478601215413
"153",153,121.408487869691
"154",154,85.886541529848
"155",155,451.059249865463
"156",156,413.923956276414
"157",157,289.894886335884
"158",158,488.845664070525
"159",159,337.040859316203
"160",160,251.748825334418
"161",161,302.491653990779
"162",162,351.1150607949
"163",163,209.892215420181
"164",164,270.571166809535
"165",165,49.1586226528759
"166",166,110.873793879046
"167",167,232.556433498906
"168",168,134.73911675673
"169",169,27.1972081520828
"170",170,204.759721037388
"171",171,261.737814912669
"172",172,141.95457881534
"173",173,61.280817952184
"174",174,114.424690806947
"175",175,99.581729843925
"176",176,143.212769815587
"177",177,142.599281340449
"178",178,116.313556597387
"179",179,100.435183628406
"180",180,180.060509914164
"181",181,178.890596165635
"182",182,81.1659903048492
"183",183,147.124282654965
"184",184,386.208603707314
"185",185,1072.74527274136
"186",186,731.49860700786
"187",187,169.738960609898
"188",188,106.729788231157
"189",189,91.4026964566655
"190",190,38.2314683538683
"191",191,81.2181719370139
"192",192,97.1446659791209
"193",193,140.30244066426
"194",194,149.474958374655
"195",195,110.401175264622
"196",196,110.949992314737
"197",197,253.527145234824
"198",198,763.519628777102
"199",199,787.435995261332
"200",200,744.487018248374
"201",201,75.71554073888
"202",202,501.941227145449
"203",203,249.562339479593
"204",204,203.818978744896
"205",205,164.55439990174
"206",206,179.910636109451
"207",207,204.136053698714
"208",208,194.795207382594
"209",209,166.080792694098
"210",210,157.318475189153
"211",211,300.97046816137
"212",212,341.416154112762
"213",213,264.47816481841
"214",214,240.947099167223
"215",215,176.999295474136
"216",216,32.9948241850043
"217",217,169.08731206998
"218",218,218.237703568935
"219",219,89.7334627602732
"220",220,166.727498484613
"221",221,41.8574299889552
"222",222,345.133953393315
"223",223,407.101179274885
"224",224,739.213746012471
"225",225,866.015889269199
"226",226,610.644598037407
