"","Element ID","/Layer_2/Subsidence_Outflow (-)(AF/year)"
"1",1,0.0376303267316933
"2",2,0.0718627468873408
"3",3,0.147670130103647
"4",4,0.173154633701946
"5",5,0.0891766187549608
"6",6,0.185280958180543
"7",7,0.119672077230115
"8",8,0.088235333981272
"9",9,0.065859968179378
"10",10,0.00368010125343061
"11",11,0.00641810190754526
"12",12,0.0119061984047542
"13",13,0.0339570567772535
"14",14,0.0701570232156838
"15",15,0.0705643218735437
"16",16,0.0374771433586085
"17",17,0.0965883961318926
"18",18,0.157150411816341
"19",19,0.110060947284156
"20",20,0.105670351826164
"21",21,0.0721374232674556
"22",22,0.0667447402980897
"23",23,0.0611205325176274
"24",24,0.0291645193593959
"25",25,0.0597135960828524
"26",26,0.0530953161361006
"27",27,0.00073522620265011
"28",28,0.000794753176777656
"29",29,0.00391387283838082
"30",30,0.00369155557128374
"31",31,0.00747943637206213
"32",32,0.0130627930601746
"33",33,0.0269332529244823
"34",34,0.0704790681256681
"35",35,0.087829696568983
"36",36,0.0991293580949317
"37",37,0.100543011401341
"38",38,0.0595643065199494
"39",39,0.0496959078833374
"40",40,0.0518238124284791
"41",41,0.0583843380444431
"42",42,0.0601815348945677
"43",43,0.0551377355794362
"44",44,0.0456642944649096
"45",45,0.0874354442809877
"46",46,0.0405429944454518
"47",47,0.0674511060134632
"48",48,0.000439595072129391
"49",49,0.00018171793507158
"50",50,0.000672196402908578
"51",51,0.000394997693557296
"52",52,0.0014225243600531
"53",53,0.00443682914452345
"54",54,0.00227686127493852
"55",55,0.00392538636562567
"56",56,0.0101363198661235
"57",57,0.0154439503070944
"58",58,0.0340219467105361
"59",59,0.0557923911150755
"60",60,0.0673027527879724
"61",61,0.0354769782281617
"62",62,0.0414018592172744
"63",63,0.018449299628204
"64",64,0.0221990002692244
"65",65,0.0235108773006542
"66",66,0.0315005119384143
"67",67,0.0308471362403342
"68",68,0.0346839207965691
"69",69,0.048528127372715
"70",70,0.0422529827348379
"71",71,0.0315708751176779
"72",72,0.0714280672727129
"73",73,0.000561869882184878
"74",74,0.00121178188633342
"75",75,0.00162406269244481
"76",76,0.000629019053689475
"77",77,0.0021588658547711
"78",78,0.0015099904361329
"79",79,0.00406886872982412
"80",80,0.00428267577713891
"81",81,0.0041479215206426
"82",82,0.00490248585625111
"83",83,0.00879601396811593
"84",84,0.0127287915005533
"85",85,0.0291911218982754
"86",86,0.0387505989852937
"87",87,0.0235762761533266
"88",88,0.0186676676114852
"89",89,0.00805573404465111
"90",90,0.0165784430587799
"91",91,0.00788762958954437
"92",92,0.0182636917705805
"93",93,0.0081499956442777
"94",94,0.0131326335068128
"95",95,0.00430709477498231
"96",96,0.0115433906942103
"97",97,0.0151936581835128
"98",98,0.0208194557663996
"99",99,0.0347047074883657
"100",100,0.053550792619226
"101",101,0.0450461602752243
"102",102,0.0397803813993934
"103",103,0.0369498684133399
"104",104,0.0465436048710673
"105",105,0.0021983580645582
"106",106,0.000690077976995748
"107",107,0.00240980338773696
"108",108,0.00526070823168386
"109",109,0.00298880928736502
"110",110,0.00203116976551401
"111",111,0.00377576696613575
"112",112,0.00460076668432358
"113",113,0.00664131603123653
"114",114,0.00707682033295268
"115",115,0.00678444298266607
"116",116,0.00944272636783318
"117",117,0.0187872074794654
"118",118,0.0139082767215961
"119",119,0.0139245978927144
"120",120,0.0209646107589116
"121",121,0.0182482871811796
"122",122,0.0142750457634344
"123",123,0.0116640395558422
"124",124,0.0137568187093842
"125",125,0.0113372735625282
"126",126,0.00665510269407507
"127",127,0.00417304446889714
"128",128,0.00643996558028127
"129",129,0.00893929784638805
"130",130,0.00418587565370757
"131",131,0.0157508460248849
"132",132,0.0118160840188131
"133",133,0.0334256938963811
"134",134,0.0248584773053405
"135",135,0.0168709694224798
"136",136,0.0256385764819782
"137",137,0.0200585092570537
"138",138,0.0210434061545322
"139",139,0.0164099504619287
"140",140,0.0252528107411613
"141",141,0.0116046001026394
"142",142,0.0196864685534672
"143",143,0.00314022604142598
"144",144,0.00299915615512486
"145",145,0.00276209609342401
"146",146,0.00488374294490818
"147",147,0.00355866821830439
"148",148,0.00636667680381834
"149",149,0.00595538087097512
"150",150,0.00304240729827954
"151",151,0.00852365818945645
"152",152,0.00724840960314397
"153",153,0.00670537514768453
"154",154,0.0076978017687084
"155",155,0.0120991907729564
"156",156,0.0199747935489206
"157",157,0.0249225748200444
"158",158,0.0221775461789685
"159",159,0.0167927070910483
"160",160,0.0153528817715284
"161",161,0.0132647903268626
"162",162,0.014486903349746
"163",163,0.00940610569460314
"164",164,0.00725104222115855
"165",165,0.00350202309125431
"166",166,0.00660393519187856
"167",167,0.0131891915896165
"168",168,0.0105291408542597
"169",169,0.00359699931221956
"170",170,0.0091339353696359
"171",171,0.01173513362797
"172",172,0.015794263925055
"173",173,0.00705442388808576
"174",174,0.0112730161514413
"175",175,0.00858639368062026
"176",176,0.0230773262995745
"177",177,0.0149258719469205
"178",178,0.0167561760681292
"179",179,0.0112737780996835
"180",180,0.0203039621900463
"181",181,0.0250931233267043
"182",182,0.00942684201876615
"183",183,0.0148791814028505
"184",184,0.0279975527904572
"185",185,0.00268550920348822
"186",186,0.00263572634101694
"187",187,0.00319270646763339
"188",188,0.00270835555273735
"189",189,0.00327796301608109
"190",190,0.00282913217026173
"191",191,0.00424138301091102
"192",192,0.00588130979850896
"193",193,0.00847005971277203
"194",194,0.00657766236739081
"195",195,0.0043489340280165
"196",196,0.0106899534898065
"197",197,0.0151686754416754
"198",198,0.0226127511287371
