"","Element ID","/Layer_3/GW Storage_Outflow (-)(AF/year)"
"1",1,5.38130015797369
"2",2,2.25030802023442
"3",3,15.6645385825722
"4",4,48.3461501192511
"5",5,37.5997524033048
"6",6,57.6035922066384
"7",7,23.0945829344961
"8",8,7.8478011830579
"9",9,21.8618476152801
"10",10,10.6793245567778
"11",11,2.05825173735389
"12",12,0.517649346252492
"13",13,0.909151195091137
"14",14,1.16187142077849
"15",15,0.629503163150714
"16",16,0.998627276343285
"17",17,1.98928577662075
"18",18,16.949107200566
"19",19,2.25069971327887
"20",20,2.64375058318701
"21",21,2.24243461908841
"22",22,2.1496578892608
"23",23,2.89165422811949
"24",24,1.76632484373843
"25",25,8.31094692585396
"26",26,33.1193521498588
"27",27,8.77862572156054
"28",28,0.565219447824592
"29",29,0.610915871922098
"30",30,0.257273189131596
"31",31,0.304123237859537
"32",32,0.37347336394075
"33",33,0.644000849373894
"34",34,1.23300031565809
"35",35,0.903339141424324
"36",36,1.04715237971325
"37",37,1.99339571005128
"38",38,2.24830357677791
"39",39,3.00345818971502
"40",40,2.07984853115429
"41",41,1.96902690587871
"42",42,2.28330172906352
"43",43,2.80631700026258
"44",44,3.57746744886072
"45",45,15.3051572969129
"46",46,18.2786689573699
"47",47,42.8348216252288
"48",48,2.61982364226599
"49",49,0.304080925078004
"50",50,0.507805728713821
"51",51,0.159082334599974
"52",52,0.188105680390325
"53",53,0.2343723121511
"54",54,0.0883669849549346
"55",55,0.134355184087416
"56",56,0.428060531166765
"57",57,0.502399856325447
"58",58,0.876587940863276
"59",59,1.45207200497049
"60",60,2.26198712653311
"61",61,0.656606497176399
"62",62,2.610057838718
"63",63,1.81930644886229
"64",64,1.8077050482399
"65",65,1.30863801269286
"66",66,1.35822540236824
"67",67,0.96613378540629
"68",68,1.10253783826583
"69",69,2.02136314938394
"70",70,2.42272746804576
"71",71,2.08502126313401
"72",72,3.55663163336076
"73",73,0.946051414267723
"74",74,0.58479177375754
"75",75,0.419625679311425
"76",76,0.193668802139372
"77",77,0.302753785814674
"78",78,0.11301965245926
"79",79,0.285699724109609
"80",80,0.215440020714516
"81",81,0.274599153068523
"82",82,0.287609168468012
"83",83,0.549975149618627
"84",84,0.607485980158208
"85",85,0.798704267932708
"86",86,1.29752683372232
"87",87,1.24606283765496
"88",88,1.23468751241861
"89",89,0.580717234407196
"90",90,1.30972718139435
"91",91,0.758630926934308
"92",92,1.49584116453273
"93",93,0.511928297397742
"94",94,0.71837642318101
"95",95,0.206652113275967
"96",96,0.508924747417594
"97",97,0.549895508091946
"98",98,0.528047714650377
"99",99,0.840378513329983
"100",100,1.63583769616694
"101",101,1.63356788239271
"102",102,1.17397738967828
"103",103,1.27001324885653
"104",104,2.13318364519642
"105",105,0.664819205344768
"106",106,0.213362310704713
"107",107,0.454165105489579
"108",108,0.572915979265956
"109",109,0.352191292261788
"110",110,0.175952319705033
"111",111,0.335282414984003
"112",112,0.34711889372626
"113",113,0.592985495274407
"114",114,0.576034542218992
"115",115,0.5369539222183
"116",116,0.613508400751899
"117",117,0.751276177011659
"118",118,0.845344959375507
"119",119,0.777115166034086
"120",120,0.98612352382325
"121",121,0.923214376499041
"122",122,0.83196453170672
"123",123,0.675077460791232
"124",124,0.984429128498076
"125",125,0.659079987494024
"126",126,0.33421602715367
"127",127,0.214423029165928
"128",128,0.30124855418511
"129",129,0.3467274564294
"130",130,0.13781688639584
"131",131,0.392511405627812
"132",132,0.245841733344102
"133",133,0.836664774349707
"134",134,0.658687677657494
"135",135,0.471906782067815
"136",136,0.726563724643788
"137",137,0.614406799575356
"138",138,0.676953448722487
"139",139,0.578563922915639
"140",140,0.942021124260508
"141",141,0.521243467863242
"142",142,0.834141217575589
"143",143,0.976583500186773
"144",144,0.566271226677091
"145",145,0.471127932541859
"146",146,0.574067950933981
"147",147,0.371951634192783
"148",148,0.628145769292119
"149",149,0.550596268831787
"150",150,0.264698133097096
"151",151,0.68770862575518
"152",152,0.505449413858957
"153",153,0.477999408723839
"154",154,0.548400847638625
"155",155,0.697524661540624
"156",156,0.89446495187036
"157",157,0.883500114440375
"158",158,0.763776758353312
"159",159,0.660952370894959
"160",160,0.635195829836806
"161",161,0.47611230623774
"162",162,0.569882388776999
"163",163,0.475433828180712
"164",164,0.326373905120707
"165",165,0.153461444650586
"166",166,0.312501842221153
"167",167,0.582993904163063
"168",168,0.455710870950393
"169",169,0.133360145102768
"170",170,0.271387556243853
"171",171,0.323152856881862
"172",172,0.509679692285575
"173",173,0.233588440341515
"174",174,0.348310056547931
"175",175,0.254187710685564
"176",176,0.709026218824799
"177",177,0.483500158157261
"178",178,0.575524023973509
"179",179,0.370825339610845
"180",180,0.679627510619413
"181",181,0.884181041713111
"182",182,0.346440151058578
"183",183,0.567375737423215
"184",184,1.14891508189846
"185",185,0.977045400136186
"186",186,0.692082309056124
"187",187,0.55148533601313
"188",188,0.394856202037098
"189",189,0.396740200270734
"190",190,0.322855261854959
"191",191,0.423467533252411
"192",192,0.515142913678772
"193",193,0.742378818877014
"194",194,0.489047971289394
"195",195,0.313320996633966
"196",196,0.683273827386628
"197",197,0.79098484113097
"198",198,1.07503349003001
"199",199,1.0473775963064
"200",200,0.894534556851361
"201",201,0.654133842508148
"202",202,0.496589563896277
"203",203,0.372097149329473
"204",204,0.246445820469306
"205",205,0.144184136824011
"206",206,0.237917750188569
"207",207,0.314155897605985
"208",208,0.245345172133709
"209",209,0.271441079584631
"210",210,0.44517519128482
"211",211,0.718964850813397
"212",212,0.959710723200602
